segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.3750002,-278.57498,48.824997,3.1272993
1,0,3.4,-278.05,48.050003,0.78740084
2,1,3.4,-275.44998,47.350002,0.6480741
28,0,3.3500001,-279.09998,49.6,0.8062257
29,28,3.3500001,-278.80002,50.550003,0.5830952
30,29,3.3500001,-277.35,51.899998,0.50990194
31,30,2.9750001,-276.44998,51.899998,0.52201533
32,31,2.375,-275.6,51.55,0.4609772
3,2,3.4,-275.15,47.600002,0.64031243
4,3,2.6499999,-275.05,51.050003,0.65574384
5,4,2.15,-275.15,51.5,0.6480741
6,5,0.15,-275.3,52.249996,0.50990194
7,6,-2.2,-275.4,52.999996,0.56568545
8,7,-4.8,-275.4,51.875,0.5678908
9,8,-7.2,-275.2,50.800003,0.48989794
10,9,-8.25,-275.1,48.5,0.53851646
11,10,-9.775,-276.775,46.7,0.5338539
12,11,-9.8,-278.0,47.1,0.6
13,12,-12.349999,-290.9,51.55,0.42426404
14,13,-12.15,-298.2,53.149998,0.42426404
15,14,-9.95,-315.9,55.35,0.42426404
16,15,-6.15,-340.425,58.149998,0.42720017
17,16,-6.025,-340.925,58.2,0.5338539
18,2,3.4,-275.25,47.15,0.6480741
19,18,4.3,-275.35,44.600002,0.64031243
20,19,4.1499996,-275.15,44.350002,0.65574384
21,20,3.875,-275.15,44.2,0.6422616
22,21,3.675,-275.15,44.4,0.6726812
23,22,3.5,-275.4,45.4,0.48989794
24,23,3.1,-275.35,46.2,0.5744563
25,21,3.7500002,-275.15,44.0,0.5830952
26,25,3.7500002,-274.95,43.399998,0.61644137
27,26,3.3500001,-274.85,42.699997,0.61644137
33,32,2.2250001,-275.5,51.625,0.43011624
34,33,1.225,-275.6,52.100002,0.32015622
35,32,2.575,-275.5,51.425,0.35355338
36,35,3.0,-275.5,50.25,0.3
