segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.625,-278.57498,48.824997,3.7589893
10,0,-7.6,-278.05,48.050003,0.78740084
11,10,-7.6499996,-275.44998,47.350002,0.71414286
1,0,-7.6499996,-279.09998,49.6,0.8062257
2,1,-7.6499996,-278.80002,50.550003,0.5830952
3,2,-7.6499996,-277.35,51.899998,0.50990194
4,3,-7.25,-276.44998,51.899998,0.5830952
5,4,-6.6749997,-275.6,51.55,0.4609772
12,11,-7.6499996,-275.15,47.600002,0.70710677
13,12,-6.8999996,-275.05,51.050003,0.70710677
14,13,-6.4,-275.15,51.5,0.67082036
15,14,-4.35,-275.3,52.249996,0.50990194
16,15,-2.1,-275.4,52.999996,0.56568545
17,16,0.525,-275.4,51.875,0.587367
18,17,2.8999999,-275.2,50.800003,0.48989794
19,18,3.9500003,-275.1,48.5,0.53851646
20,19,5.5,-276.775,46.7,0.5678908
21,20,5.55,-278.0,47.1,0.53851646
22,21,8.05,-290.9,51.55,0.42426404
23,22,7.8500004,-298.2,53.149998,0.42426404
24,23,5.7,-315.9,55.35,0.36055514
25,24,1.85,-340.425,58.149998,0.42720017
26,25,1.75,-340.925,58.2,0.5024938
27,11,-7.6499996,-275.25,47.15,0.71414286
28,27,-8.55,-275.35,44.600002,0.70710677
29,28,-8.4,-275.15,44.350002,0.70710677
30,29,-8.150001,-275.15,44.2,0.6480741
31,30,-7.95,-275.15,44.4,0.5830952
32,31,-7.75,-275.4,45.4,0.53851646
33,32,-7.4,-275.35,46.2,0.5744563
34,30,-8.025001,-275.15,44.0,0.6103278
35,34,-8.05,-274.95,43.399998,0.61644137
36,35,-7.625,-274.85,42.699997,0.5937171
6,5,-6.5,-275.5,51.625,0.45
7,6,-5.475,-275.6,52.100002,0.3774917
8,5,-6.85,-275.5,51.425,0.33541018
9,8,-7.2999997,-275.5,50.25,0.3
