segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-11.599999,-265.9,36.649998,2.4186773
1,0,-11.599999,-265.94998,36.649998,0.46904156
2,1,-11.05,-266.25,36.399998,0.37416574
3,2,-8.65,-267.5,36.1,0.3
4,3,-5.7,-269.0,36.5,0.34641016
5,4,-3.5,-271.55002,37.3,0.3
6,5,-2.35,-272.4,37.3,0.3
7,6,-2.175,-272.7,37.7,0.32015622
8,7,-2.15,-272.90002,37.675,0.39051247
9,8,-2.0,-273.05,37.675,0.39051247
10,9,0.65000004,-273.15,38.125,0.35000002
11,10,2.8999999,-273.42502,39.825,0.43011624
12,11,4.475,-273.775,42.449997,0.44158804
13,12,4.975,-274.2,45.5,0.42720017
14,13,4.4500003,-274.65,48.525,0.4924429
15,14,2.8999999,-275.0,51.1,0.48989794
16,15,0.6,-275.3,52.824997,0.5123476
17,16,-1.9750001,-275.3,53.250004,0.52201533
18,8,-2.3,-273.05,37.65,0.42426404
19,18,-4.8500004,-273.15,38.125,0.35000002
20,19,-7.125,-273.42502,39.825,0.4555217
21,20,-8.7,-273.775,42.449997,0.41533118
22,21,-9.2,-274.2,45.5,0.4472136
23,22,-8.65,-274.65,48.525,0.4924429
24,23,-7.1000004,-275.0,51.1,0.48989794
25,24,-4.8500004,-275.3,52.824997,0.48218253
26,25,-2.4,-275.3,53.250004,0.36055514
