segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.8250003,-262.163,33.638,2.4041631
1,0,-12.549999,-250.90001,27.45,0.42426404
2,1,-12.549999,-253.7,27.3,0.36055514
3,2,-12.525,-258.725,27.2,0.40620193
4,3,-11.675,-261.5,28.0,0.32015622
5,4,-5.2000003,-272.32498,34.1,0.32015622
6,5,-5.1,-272.8,35.3,0.28284273
7,6,-5.15,-273.2,37.45,0.37416574
8,7,-7.125,-273.42502,39.825,0.38405728
9,8,-8.7,-273.775,42.449997,0.41533118
10,9,-9.2,-274.2,45.5,0.4472136
11,10,-8.65,-274.65,48.525,0.4924429
12,11,-7.1000004,-275.0,51.1,0.48989794
13,12,-4.8500004,-275.3,52.824997,0.48218253
14,13,-2.1,-275.35,53.399998,0.5
15,0,2.8999999,-273.42502,39.825,0.40620193
16,15,4.475,-273.775,42.449997,0.44158804
17,16,4.975,-274.2,45.5,0.42720017
18,17,4.4500003,-274.65,48.525,0.4924429
19,18,2.8999999,-275.0,51.1,0.48989794
20,19,0.6,-275.3,52.824997,0.5123476
