segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.5,-265.30002,50.35,2.823119
1,0,4.5,-265.35,50.35,0.50990194
2,1,4.1499996,-266.85,49.85,0.65574384
3,2,2.5,-269.8,49.5,0.56568545
4,3,2.525,-273.9,50.950005,0.57662815
5,4,2.55,-274.825,51.275,0.57879186
6,5,0.55,-275.05,52.850002,0.591608
7,6,-2.2,-275.25,53.350002,0.5830952
8,7,-4.9,-275.2,52.8,0.48989794
9,8,-7.225,-275.1,51.024998,0.65192026
10,9,-8.775001,-274.7,48.575,0.5338539
11,10,-9.224999,-274.3,45.649998,0.6103278
12,11,-8.75,-273.8,42.375,0.559017
13,12,-7.2,-273.5,39.875,0.63442886
14,13,-4.95,-273.30002,38.2,0.5744563
15,14,-2.8000002,-273.2,37.7,0.56568545
16,15,-2.6499999,-273.25,37.9,0.42426404
17,16,-2.8000002,-273.30002,38.325,0.45
18,17,-3.85,-273.5,38.7,0.45825756
19,18,-5.4,-273.475,39.5,0.45
20,19,-6.525,-273.6,40.575,0.47434163
21,20,-7.25,-273.6,41.55,0.50990194
22,15,-2.525,-273.25,37.7,0.5024938
23,22,-2.4,-273.2,37.475,0.45
24,23,-2.4,-273.0,36.199997,0.4472136
25,22,-2.375,-273.30002,37.875,0.47434163
26,25,-2.325,-273.5,39.05,0.5408327
