segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.75,-265.30002,50.35,2.7531798
1,0,-8.8,-265.35,50.35,0.50990194
2,1,-8.425,-266.85,49.85,0.736546
3,2,-6.8,-269.8,49.5,0.56568545
4,3,-6.8,-273.9,50.950005,0.53851646
5,4,-6.8,-274.825,51.275,0.49497476
6,5,-4.8250003,-275.05,52.850002,0.60207975
7,6,-2.1,-275.25,53.350002,0.5830952
8,7,0.6,-275.2,52.8,0.48989794
9,8,2.9750001,-275.1,51.024998,0.587367
10,9,4.5,-274.7,48.575,0.5678908
11,10,5.0,-274.3,45.649998,0.5744563
12,11,4.5,-273.8,42.375,0.61846584
13,12,2.8999999,-273.5,39.875,0.63442886
14,13,0.65000004,-273.30002,38.2,0.5744563
15,14,-1.5,-273.2,37.7,0.56568545
16,15,-1.65,-273.25,37.9,0.42426404
17,16,-1.5,-273.30002,38.325,0.45
18,17,-0.4,-273.5,38.7,0.48989794
19,18,1.1,-273.475,39.5,0.53150725
20,19,2.25,-273.6,40.575,0.5024938
21,20,2.9750001,-273.6,41.55,0.5408327
22,15,-1.7750001,-273.25,37.7,0.6422616
23,22,-1.9,-273.30002,37.875,0.45
24,23,-1.925,-273.5,39.05,0.48218253
25,22,-1.8750001,-273.2,37.475,0.5338539
26,25,-1.85,-273.0,36.199997,0.5
