segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.6,-269.07498,37.65,2.762698
1,0,3.6,-269.05,37.7,0.5744563
2,1,2.95,-270.90002,38.45,0.46904156
3,2,2.05,-273.05,39.15,0.4358899
4,3,2.05,-273.35,39.6,0.42426404
5,4,4.475,-273.775,42.449997,0.44158804
6,5,4.975,-274.2,45.5,0.42720017
7,6,4.4500003,-274.65,48.525,0.4924429
8,7,2.8999999,-275.0,51.1,0.48989794
9,8,0.6,-275.3,52.824997,0.5123476
10,9,-2.1,-275.35,53.399998,0.5
11,10,-4.8500004,-275.3,52.824997,0.33541018
12,11,-7.1000004,-275.0,51.1,0.34641016
13,12,-8.65,-274.65,48.525,0.42720017
14,13,-9.2,-274.2,45.5,0.4472136
