segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.75,-269.07498,37.65,2.8429737
1,0,-7.8,-269.05,37.7,0.5744563
2,1,-7.125,-270.90002,38.45,0.39051247
3,2,-6.25,-273.05,39.15,0.4358899
4,3,-6.25,-273.35,39.6,0.42426404
5,4,-8.625,-273.775,42.449997,0.44158804
6,5,-9.15,-274.2,45.5,0.5
7,6,-8.6,-274.65,48.525,0.4387482
8,7,-7.1000004,-275.0,51.1,0.48989794
9,8,-4.75,-275.3,52.824997,0.48218253
10,9,-2.1,-275.35,53.399998,0.5
11,10,0.65000004,-275.3,52.824997,0.33541018
12,11,2.95,-275.0,51.1,0.41231057
13,12,4.475,-274.65,48.525,0.41833004
14,13,5.05,-274.2,45.5,0.36055514
