segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.1,-271.0,41.2,2.297825
1,0,3.15,-271.0,41.25,0.42426404
2,1,3.15,-272.15,41.5,0.37416574
3,2,3.15,-273.4,41.800003,0.41231057
4,3,3.15,-273.75,42.125,0.42720017
5,4,4.975,-274.2,45.5,0.40311286
6,5,4.4500003,-274.65,48.525,0.4924429
7,6,2.8999999,-275.0,51.1,0.48989794
8,7,0.6,-275.3,52.824997,0.5123476
9,8,-2.1,-275.35,53.399998,0.5
10,9,-4.8500004,-275.3,52.824997,0.33541018
11,10,-7.1000004,-275.0,51.1,0.34641016
12,11,-8.65,-274.65,48.525,0.42720017
13,12,-9.2,-274.2,45.5,0.4472136
14,13,-8.7,-273.775,42.449997,0.33541018
15,14,-7.125,-273.42502,39.825,0.4330127
16,15,-6.2,-273.25,39.05,0.42426404
