segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.4,-271.0,41.2,2.297825
1,0,-7.35,-271.0,41.25,0.42426404
2,1,-7.35,-272.15,41.5,0.37416574
3,2,-7.35,-273.4,41.800003,0.41231057
4,3,-7.35,-273.75,42.125,0.42720017
5,4,-9.224999,-274.2,45.5,0.47169906
6,5,-8.65,-274.65,48.525,0.4924429
7,6,-7.1000004,-275.0,51.1,0.48989794
8,7,-4.8500004,-275.3,52.824997,0.48218253
9,8,-2.1,-275.35,53.399998,0.5
10,9,0.6,-275.3,52.824997,0.3774917
11,10,2.8999999,-275.0,51.1,0.34641016
12,11,4.425,-274.65,48.525,0.36742347
13,12,4.975,-274.2,45.5,0.40311286
14,13,4.475,-273.775,42.449997,0.44158804
15,14,2.8999999,-273.42502,39.825,0.47434163
16,15,1.9750001,-273.25,39.05,0.45
