segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.8500004,-271.19998,44.4,2.3345237
1,0,4.8500004,-271.19998,44.350002,0.42426404
2,1,4.8500004,-271.84998,44.65,0.4358899
3,2,4.8500004,-274.05,45.899998,0.46904156
4,3,4.4500003,-274.65,48.45,0.4358899
5,4,2.8999999,-275.0,51.1,0.48989794
6,5,0.6,-275.3,52.824997,0.5123476
7,6,-2.1,-275.35,53.399998,0.5
8,7,-4.8500004,-275.3,52.824997,0.33541018
9,8,-7.1000004,-275.0,51.1,0.34641016
10,9,-8.65,-274.65,48.525,0.42720017
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.7,-273.775,42.449997,0.33541018
13,12,-7.125,-273.42502,39.825,0.4330127
14,13,-4.8500004,-273.15,38.125,0.47169906
15,14,-2.5,-273.05,37.45,0.37416574
16,15,-2.35,-273.05,36.199997,0.42426404
