segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.049999,-271.19998,44.4,2.3345237
1,0,-9.049999,-271.19998,44.350002,0.42426404
2,1,-9.049999,-271.84998,44.65,0.4358899
3,2,-9.049999,-274.05,45.899998,0.46904156
4,3,-8.65,-274.65,48.45,0.4358899
5,4,-7.1000004,-275.0,51.1,0.48989794
6,5,-4.8500004,-275.3,52.824997,0.48218253
7,6,-2.1,-275.35,53.399998,0.5
8,7,0.6,-275.3,52.824997,0.3774917
9,8,2.8999999,-275.0,51.1,0.34641016
10,9,4.4500003,-274.65,48.525,0.42720017
11,10,4.975,-274.2,45.5,0.40311286
12,11,4.475,-273.775,42.449997,0.44158804
13,12,2.8999999,-273.42502,39.825,0.47434163
14,13,0.65000004,-273.15,38.125,0.47169906
15,14,-1.7,-273.05,37.45,0.37416574
16,15,-1.85,-273.05,36.199997,0.42426404
