segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.5,-275.75,58.499996,3.3241801
1,0,-0.9,-275.75,57.9,0.46904156
2,1,-0.65000004,-275.75,57.75,0.4358899
3,2,0.0,-275.55002,57.200005,0.41231057
4,3,1.3249999,-275.3,53.8,0.47169906
5,4,2.8999999,-275.0,51.1,0.48989794
6,5,4.4500003,-274.65,48.525,0.42720017
7,6,4.975,-274.2,45.5,0.40311286
8,7,4.475,-273.775,42.449997,0.44158804
9,8,2.8999999,-273.42502,39.825,0.47434163
10,9,0.65000004,-273.15,38.125,0.47169906
11,10,-2.1,-273.05,37.475,0.39051247
12,11,-4.8500004,-273.15,38.125,0.35000002
13,12,-7.125,-273.42502,39.825,0.4555217
14,13,-8.7,-273.775,42.449997,0.41533118
15,14,-9.2,-274.2,45.5,0.4472136
16,15,-8.65,-274.65,48.525,0.4924429
17,16,-7.1000004,-275.0,51.1,0.48989794
18,17,-4.75,-275.35,54.100002,0.46904156
19,18,-4.2,-275.75,57.300003,0.41231057
20,19,-3.6,-275.75,57.8,0.41231057
21,20,-3.3,-275.75,57.9,0.5
22,21,-3.3009999,-275.75,57.9,0.46904156
23,0,-2.1,-275.75,59.100002,0.9219544
24,23,-2.15,-275.3,60.600002,0.67082036
25,24,-0.95,-272.25,61.449997,0.71414286
26,25,-0.70000005,-240.9,52.499996,0.56568545
27,26,-0.70000005,-210.75,40.7,0.5744563
28,27,-0.70000005,-205.95,37.7,0.5744563
29,28,-0.70000005,-169.25,13.6,0.5744563
30,29,-0.70000005,-167.20001,12.15,0.53851646
