segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.900001,-274.4,46.987,2.9698486
3,0,-9.099999,-274.25,45.975,0.6422616
4,3,-8.75,-273.775,42.5,0.4387482
5,4,-7.1500006,-273.42502,39.825,0.44158804
6,5,-4.875,-273.15,38.125,0.46368092
7,6,-2.1,-273.05,37.475,0.39051247
8,7,0.6,-273.15,38.125,0.39051247
9,8,2.875,-273.42502,39.825,0.295804
10,9,4.425,-273.775,42.449997,0.44158804
11,10,4.95,-274.2,45.5,0.5
12,11,4.4,-274.65,48.525,0.4387482
13,12,2.8999999,-275.0,51.1,0.48989794
14,13,0.55,-275.3,52.824997,0.48218253
15,14,-2.1,-275.35,53.399998,0.5
16,15,-4.8500004,-275.3,52.824997,0.33541018
17,16,-7.2,-274.97498,51.050003,0.5024938
18,17,-8.7,-274.55002,48.0,0.5
