segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.033,-272.967,35.667,2.6248808
1,0,-2.0,-273.0,35.0,0.56568545
2,1,-2.0,-272.5,32.8,0.6
3,2,-2.025,-268.7,27.55,0.4387482
4,3,-1.4499999,-247.90001,17.35,0.42426404
5,4,-1.4499999,-243.35,14.55,0.4358899
6,5,-1.4499999,-214.94998,-5.25,0.4358899
7,6,-1.4499999,-210.2,-8.4,0.5
8,7,-1.4499999,-167.6,-37.6,0.5
9,8,-1.4499999,-162.85,-40.05,0.4358899
10,9,-1.4499999,-135.45001,-53.95,0.4358899
11,10,-1.4499999,-118.49999,-60.2,0.5
12,11,-1.4499999,-102.35,-64.0,0.50990194
13,12,-1.4499999,-84.15,-66.649994,0.4358899
14,13,-1.4499999,-53.3,-67.049995,0.42426404
15,14,-1.4499999,-47.15,-65.85,0.4358899
16,15,-1.4499999,-3.4499998,-53.250004,0.4358899
17,16,-1.4499999,3.7500002,-50.050003,0.4358899
18,17,-1.4499999,32.2,-35.350002,0.42426404
19,18,-4.35,36.1,-30.55,0.46904156
20,19,-10.625,42.05,-24.449999,0.55
21,20,-13.349999,47.600002,-19.875,0.4387482
22,21,-13.45,56.199997,-14.45,0.42426404
23,22,-10.375,61.85,-12.65,0.45
24,23,-5.85,65.525,-10.75,0.45
25,24,-2.2,69.5,-11.85,0.41231057
26,25,-1.85,77.8,-6.3500004,0.42426404
27,26,-1.4499999,84.75,-2.0,0.50990194
28,27,-1.4499999,89.3,-0.5,0.5
29,28,-1.4499999,116.2,4.4500003,0.42426404
30,29,-1.4499999,125.100006,4.4500003,0.42426404
31,30,-1.4499999,167.6,2.25,0.42426404
32,31,-1.4499999,174.65,1.05,0.4358899
33,32,-1.4499999,249.09999,-20.25,0.42426404
34,33,-1.4499999,256.3,-21.5,0.5
35,34,-1.4499999,283.3,-25.0,0.5
36,35,-1.4499999,289.19998,-25.5,0.5
37,36,-1.4499999,317.6,-26.499998,0.5
38,37,-1.4499999,322.8,-26.050001,0.42426404
39,38,-1.4499999,350.75,-23.0,0.50990194
40,39,-1.4499999,355.35,-21.449999,0.4358899
41,40,-1.4499999,386.1,-8.2,0.5
42,41,-1.4499999,396.95,-2.6000001,0.50990194
43,0,-1.2,-272.95,36.0,0.36055514
44,43,-0.9,-272.95,36.199997,0.41231057
45,44,-0.55,-272.95,36.35,0.4358899
46,45,0.55,-273.15,38.100002,0.37416574
47,46,2.8999999,-273.42502,39.825,0.43011624
48,47,4.475,-273.775,42.449997,0.44158804
49,48,4.975,-274.2,45.5,0.42720017
50,49,4.4500003,-274.65,48.525,0.4924429
51,50,2.8999999,-275.0,51.1,0.48989794
52,51,0.6,-275.3,52.824997,0.5123476
53,52,-1.8,-275.35,53.149998,0.42426404
54,0,-2.8999999,-272.95,36.0,0.36055514
55,54,-3.3,-272.95,36.199997,0.41231057
56,55,-3.6499999,-272.95,36.35,0.4358899
57,56,-4.8500004,-273.15,38.125,0.40311286
58,57,-7.125,-273.42502,39.825,0.4555217
59,58,-8.7,-273.775,42.449997,0.41533118
60,59,-9.2,-274.2,45.5,0.4472136
61,60,-8.65,-274.65,48.525,0.4924429
62,61,-7.1000004,-275.0,51.1,0.48989794
63,62,-4.8500004,-275.3,52.824997,0.48218253
64,63,-2.3,-275.4,53.2,0.4472136
