segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.1,-265.05002,34.1,2.3345237
1,0,1.05,-265.05002,34.1,0.42426404
2,1,1.05,-265.1,33.75,0.46904156
3,2,1.05,-265.75,33.55,0.4358899
4,3,-0.05,-267.225,33.85,0.42720017
5,4,-1.625,-270.525,35.375,0.38405728
6,5,-1.75,-272.90002,36.8,0.41231057
7,6,0.65000004,-273.15,38.125,0.40311286
8,7,2.8999999,-273.42502,39.825,0.43011624
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.975,-274.2,45.5,0.42720017
11,10,4.4500003,-274.65,48.525,0.4924429
12,11,2.8999999,-275.0,51.1,0.48989794
13,12,0.6,-275.3,52.824997,0.5123476
14,13,-2.1,-275.35,53.399998,0.5
15,14,-4.8500004,-275.3,52.824997,0.33541018
16,15,-7.1000004,-275.0,51.1,0.34641016
17,16,-8.65,-274.65,48.525,0.42720017
18,17,-9.049999,-274.25,46.3,0.42426404
19,18,-8.925,-274.2,46.149998,0.5024938
20,19,-8.6,-274.15,46.0,0.41231057
21,20,-8.150001,-274.1,44.975002,0.5024938
22,21,-7.6499996,-273.95,42.8,0.46904156
23,18,-9.099999,-274.2,46.0,0.4472136
24,23,-8.7,-273.775,42.449997,0.33541018
25,24,-7.125,-273.42502,39.825,0.4330127
26,25,-4.8500004,-273.15,38.125,0.47169906
27,26,-3.3,-273.15,37.425,0.4609772
