segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.4,-265.05002,34.1,2.3345237
1,0,-5.2999997,-265.05002,34.1,0.36055514
2,1,-5.2999997,-265.1,33.75,0.41231057
3,2,-5.2999997,-265.75,33.55,0.37416574
4,3,-4.1499996,-267.225,33.85,0.42720017
5,4,-2.625,-270.525,35.375,0.4330127
6,5,-2.45,-272.90002,36.8,0.41231057
7,6,-4.8500004,-273.15,38.125,0.40311286
8,7,-7.125,-273.42502,39.825,0.4555217
9,8,-8.7,-273.775,42.449997,0.41533118
10,9,-9.224999,-274.2,45.5,0.47169906
11,10,-8.65,-274.65,48.525,0.4924429
12,11,-7.1000004,-275.0,51.1,0.48989794
13,12,-4.8500004,-275.3,52.824997,0.48218253
14,13,-2.1,-275.35,53.399998,0.5
15,14,0.6,-275.3,52.824997,0.3774917
16,15,2.8999999,-275.0,51.1,0.34641016
17,16,4.425,-274.65,48.525,0.36742347
18,17,4.8500004,-274.25,46.3,0.42426404
19,18,4.725,-274.2,46.149998,0.5024938
20,19,4.375,-274.15,46.0,0.39051247
21,20,3.9500003,-274.1,44.975002,0.5024938
22,21,3.4499998,-273.95,42.8,0.46904156
23,18,4.875,-274.2,46.0,0.32015622
24,23,4.475,-273.775,42.449997,0.44158804
25,24,2.8999999,-273.42502,39.825,0.47434163
26,25,0.65000004,-273.15,38.125,0.47169906
27,26,-0.925,-273.15,37.425,0.46368092
