segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,8.25,-238.29999,32.7,2.8999999
1,0,8.25,-238.35,32.7,0.46904156
2,1,8.25,-237.8,31.900002,0.5
3,2,6.2,-239.2,22.849998,0.5744563
4,3,4.8500004,-240.8,18.4,0.53851646
5,4,1.1,-242.575,15.475,0.43011624
6,5,-0.32500002,-243.24998,14.624999,0.5244044
7,6,-0.575,-244.7,15.275,0.49497476
8,7,-0.775,-247.79999,17.0,0.53150725
9,8,-0.75,-263.65,24.050001,0.4358899
10,9,-1.15,-267.675,25.75,0.55
11,10,-0.8,-271.15,30.4,0.53851646
12,11,-0.55,-272.8,35.4,0.5
13,12,0.65000004,-273.15,38.125,0.40311286
14,13,2.8999999,-273.42502,39.825,0.43011624
15,14,4.475,-273.775,42.449997,0.44158804
16,15,4.975,-274.2,45.5,0.42720017
17,16,4.4500003,-274.65,48.525,0.4924429
18,17,2.8999999,-275.0,51.1,0.48989794
