segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-12.5,-238.29999,32.7,2.828427
1,0,-12.549999,-238.35,32.7,0.46904156
2,1,-12.549999,-237.8,31.900002,0.5
3,2,-10.475,-239.2,22.849998,0.48218253
4,3,-9.099999,-240.8,18.4,0.48989794
5,4,-5.4,-242.575,15.475,0.43011624
6,5,-3.9500003,-243.24998,14.624999,0.55
7,6,-3.7,-244.7,15.275,0.53150725
8,7,-3.5,-247.79999,17.0,0.56568545
9,8,-3.5,-263.65,24.050001,0.50990194
10,9,-3.15,-267.675,25.75,0.55
11,10,-3.5,-271.15,30.4,0.53851646
12,11,-3.7500002,-272.8,35.4,0.5
13,12,-4.9,-273.15,38.125,0.39051247
14,13,-7.175,-273.42502,39.825,0.295804
15,14,-8.725,-273.775,42.449997,0.44158804
16,15,-9.25,-274.2,45.5,0.5
17,16,-8.7,-274.65,48.525,0.4387482
18,17,-7.2,-275.0,51.1,0.48989794
