segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.1,-265.9,35.7,2.2627418
1,0,1.05,-265.94998,35.7,0.42426404
2,1,1.05,-266.05002,34.95,0.4358899
3,2,1.05,-266.30002,34.05,0.46904156
4,3,1.05,-267.19998,33.75,0.42426404
5,4,1.05,-269.85,34.55,0.4358899
6,5,1.05,-272.8,36.199997,0.41231057
7,6,1.05,-273.15,37.6,0.42426404
8,7,2.8999999,-273.42502,39.825,0.40620193
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.975,-274.2,45.5,0.42720017
11,10,4.4500003,-274.65,48.525,0.4924429
12,11,2.8999999,-275.0,51.1,0.48989794
13,12,0.6,-275.3,52.824997,0.5123476
14,13,-2.1,-275.35,53.399998,0.5
15,14,-4.8500004,-275.3,52.824997,0.33541018
16,15,-7.1000004,-275.0,51.1,0.34641016
17,16,-8.775001,-274.65,48.100002,0.33541018
18,17,-8.7,-274.65,47.925003,0.4609772
19,18,-8.150001,-274.55002,47.5,0.46904156
20,19,-7.95,-274.44998,46.875,0.42720017
21,17,-8.95,-274.65,47.975002,0.40311286
22,21,-9.45,-274.7,47.95,0.37416574
23,22,-9.849999,-274.6,47.65,0.37416574
24,23,-10.05,-274.525,46.875,0.3391165
25,24,-9.55,-274.4,46.0,0.3
26,25,-8.7,-274.35,45.85,0.42426404
27,26,-8.0,-274.44998,46.3,0.3
