segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.2999997,-265.9,35.7,2.2627418
1,0,-5.35,-265.94998,35.7,0.42426404
2,1,-5.35,-266.05002,34.95,0.4358899
3,2,-5.35,-266.30002,34.05,0.46904156
4,3,-5.35,-267.19998,33.75,0.42426404
5,4,-5.35,-269.85,34.55,0.4358899
6,5,-5.35,-272.8,36.199997,0.41231057
7,6,-5.35,-273.15,37.6,0.42426404
8,7,-7.1500006,-273.42502,39.825,0.36742347
9,8,-8.725,-273.775,42.449997,0.44158804
10,9,-9.25,-274.2,45.5,0.5
11,10,-8.7,-274.65,48.525,0.4387482
12,11,-7.1500006,-275.0,51.1,0.45825756
13,12,-4.8500004,-275.3,52.824997,0.48218253
14,13,-2.1,-275.35,53.399998,0.5
15,14,0.55,-275.3,52.824997,0.33541018
16,15,2.8999999,-275.0,51.1,0.34641016
17,16,4.5249996,-274.65,48.100002,0.39051247
18,17,4.4500003,-274.65,47.925003,0.47169906
19,18,3.9,-274.55002,47.5,0.41231057
20,19,3.7,-274.44998,46.875,0.5024938
21,17,4.725,-274.65,47.975002,0.46368092
22,21,5.2250004,-274.7,47.95,0.3640055
23,22,5.5750003,-274.6,47.65,0.41533118
24,23,5.7999997,-274.525,46.875,0.43011624
25,24,5.2999997,-274.4,46.0,0.34641016
26,25,4.4500003,-274.35,45.85,0.33166248
27,26,3.7500002,-274.44998,46.3,0.37416574
