segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.6879997,-270.169,42.131,1.9235383
7,0,-0.15,-267.5,36.6,0.36055514
8,7,-0.15,-267.6,35.350002,0.37416574
9,8,-0.15,-268.05,34.850002,0.4358899
10,9,-0.15,-269.0,35.2,0.41231057
11,10,0.32500002,-272.95,37.6,0.48218253
1,0,-0.15,-266.65002,36.6,0.42426404
2,1,-0.15,-266.59998,34.8,0.36055514
3,2,-0.15,-266.30002,31.600002,0.41231057
4,3,-0.15,-265.0,30.599998,0.36055514
5,4,-0.15,-245.65001,22.8,0.37416574
6,5,-0.15,-245.25002,22.7,0.37416574
27,0,-9.875,-272.90002,47.675,0.45276928
28,27,-10.075,-272.225,51.075,0.4769696
29,28,-10.075,-272.075,55.800003,0.45276928
30,29,-10.075,-272.75,59.975,0.39370042
31,30,-10.075,-273.9,60.75,0.30413812
32,31,-9.95,-281.0,61.75,0.31622776
33,32,-9.95,-294.4,63.15,0.31622776
34,33,-9.35,-309.40002,64.35,0.31622776
35,34,-7.8500004,-326.0,64.950005,0.31622776
36,35,-7.8,-326.69998,64.950005,0.2236068
23,0,-8.575,-273.625,47.65,0.46368092
24,23,-8.55,-274.65,48.25,0.4358899
25,24,-7.1000004,-275.0,51.1,0.48989794
26,25,-4.8500004,-275.3,52.824997,0.48218253
12,11,0.32500002,-273.1,37.825,0.43011624
13,12,0.70000005,-273.15,38.125,0.3640055
14,13,2.8999999,-273.42502,39.825,0.43011624
15,14,4.475,-273.775,42.449997,0.44158804
16,15,4.975,-274.2,45.5,0.42720017
17,16,4.4500003,-274.65,48.525,0.4924429
18,17,2.8999999,-275.0,51.1,0.48989794
19,18,0.6,-275.3,52.824997,0.5123476
20,19,-2.1,-275.35,53.399998,0.5
21,11,0.35000002,-273.35,37.725,0.40311286
22,21,0.35000002,-274.65,37.9,0.37416574
