segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.531,-270.169,42.131,2.2803507
1,0,-4.0,-267.5,36.6,0.28284273
2,1,-4.0,-267.6,35.350002,0.3
3,2,-4.0,-268.05,34.850002,0.37416574
4,3,-4.0,-269.0,35.2,0.34641016
5,4,-4.4500003,-272.95,37.6,0.50990194
17,0,-4.0,-266.65002,36.6,0.5
18,17,-4.0,-266.59998,34.8,0.28284273
19,18,-4.0,-266.30002,31.600002,0.34641016
20,19,-4.0,-265.0,30.599998,0.28284273
21,20,-4.0,-245.65001,22.8,0.3
22,21,-4.0,-245.25002,22.7,0.3
27,0,5.725,-272.90002,47.675,0.49497476
28,27,5.9500003,-272.225,51.075,0.3391165
29,28,5.925,-272.075,55.800003,0.47434163
30,29,5.925,-272.75,59.975,0.48476797
31,30,5.925,-273.9,60.75,0.33541018
32,31,5.85,-281.0,61.75,0.31622776
33,32,5.85,-294.4,63.15,0.31622776
34,33,5.2000003,-309.40002,64.35,0.3
35,34,3.7500002,-326.0,64.950005,0.31622776
36,35,3.6499999,-326.69998,64.950005,0.31622776
23,0,4.4,-273.625,47.65,0.3640055
24,23,4.425,-274.65,48.25,0.40311286
25,24,3.0,-275.0,51.1,0.48989794
26,25,0.65000004,-275.3,52.824997,0.48218253
6,5,-4.4500003,-273.1,37.825,0.5024938
7,6,-4.8500004,-273.15,38.125,0.42720017
8,7,-7.05,-273.42502,39.825,0.36742347
9,8,-8.625,-273.775,42.449997,0.44158804
10,9,-9.15,-274.2,45.5,0.5
11,10,-8.575,-274.65,48.525,0.5244044
12,11,-7.05,-275.0,51.1,0.45825756
13,12,-4.75,-275.3,52.824997,0.48218253
14,13,-2.0,-275.35,53.399998,0.5
15,5,-4.4500003,-273.35,37.725,0.40311286
16,15,-4.4500003,-274.65,37.9,0.37416574
