segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.9,-270.90002,45.425,1.9104972
9,0,3.9,-271.65,45.649998,0.24494897
10,9,4.3,-273.1,46.2,0.34641016
11,10,4.75,-274.44998,46.65,0.33166248
12,11,4.7,-274.6,47.0,0.28284273
13,12,4.4500003,-274.9,48.475,0.39051247
14,13,3.3,-275.4,50.800003,0.34641016
15,14,0.65000004,-275.3,52.8,0.3
16,15,-2.1,-275.25,53.45,0.31622776
17,16,-4.8500004,-275.1,52.8,0.3
18,17,-7.1000004,-274.6,51.2,0.34641016
19,18,-8.65,-274.3,48.525,0.3640055
20,19,-9.25,-273.9,45.5,0.36055514
21,20,-8.75,-273.55002,42.425,0.35000002
22,21,-7.1500006,-273.30002,39.8,0.3
23,22,-2.5,-272.7,36.449997,0.3
24,23,-2.6499999,-271.30002,30.45,0.37416574
25,24,-2.7,-268.35,27.000002,0.3
26,25,-3.3,-267.575,26.875002,0.32403705
27,26,-3.6,-267.025,27.2,0.32015622
28,27,-7.9750004,-265.375,29.949999,0.39370042
29,28,-8.299999,-265.59998,30.125002,0.25
30,29,-8.425,-266.17502,30.25,0.39370042
31,30,-10.0,-272.775,29.800001,0.25
32,31,-12.1,-279.0,31.25,0.3
33,32,-11.325,-292.375,36.7,0.25495097
34,33,-8.900001,-321.225,48.3,0.28722814
35,34,-8.425,-327.2,49.95,0.30413812
36,35,-8.525,-327.67502,50.050003,0.3391165
1,0,3.9,-270.15,45.2,0.45825756
2,1,3.9,-268.4,44.7,0.4472136
3,2,4.025,-259.225,42.2,0.43011624
4,3,7.0249996,-255.34999,41.0,0.39051247
5,4,10.05,-251.77501,39.899998,0.3640055
6,5,11.150001,-245.77501,38.100002,0.3640055
7,6,10.55,-242.9,37.3,0.41231057
8,7,8.225,-239.2,36.5,0.40311286
