segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.175,-270.90002,45.425,1.8275667
9,0,-8.150001,-271.65,45.649998,0.33166248
10,9,-8.575,-273.1,46.2,0.3774917
11,10,-9.049999,-274.44998,46.65,0.33166248
12,11,-9.0,-274.6,47.0,0.28284273
13,12,-8.75,-274.9,48.475,0.39051247
14,13,-7.6,-275.4,50.800003,0.34641016
15,14,-4.9,-275.3,52.8,0.28284273
16,15,-2.2,-275.25,53.45,0.31622776
17,16,0.55,-275.1,52.8,0.3
18,17,2.8000002,-274.6,51.2,0.34641016
19,18,4.35,-274.3,48.525,0.3640055
20,19,4.95,-273.9,45.5,0.36055514
21,20,4.5,-273.55002,42.425,0.26925823
22,21,2.85,-273.30002,39.8,0.3
23,22,-1.75,-272.7,36.449997,0.37416574
24,23,-1.6,-271.30002,30.45,0.3
25,24,-1.55,-268.35,27.000002,0.37416574
26,25,-0.975,-267.575,26.875002,0.35707143
27,26,-0.70000005,-267.025,27.2,0.32015622
28,27,3.7250001,-265.375,29.949999,0.41833004
29,28,4.0,-265.59998,30.125002,0.25
30,29,4.1499996,-266.17502,30.25,0.35000002
31,30,5.7,-272.775,29.800001,0.25
32,31,7.8,-279.0,31.25,0.3
33,32,7.05,-292.375,36.7,0.26925823
34,33,4.6,-321.225,48.3,0.28722814
35,34,4.1499996,-327.2,49.95,0.31622776
36,35,4.25,-327.67502,50.050003,0.35000002
1,0,-8.2,-270.15,45.2,0.45825756
2,1,-8.2,-268.4,44.7,0.4472136
3,2,-8.299999,-259.225,42.2,0.47169906
4,3,-11.275001,-255.34999,41.0,0.41533118
5,4,-14.300001,-251.77501,39.899998,0.45
6,5,-15.449999,-245.77501,38.100002,0.3640055
7,6,-14.849999,-242.9,37.3,0.41231057
8,7,-12.475,-239.2,36.5,0.4924429
