segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.2,-234.8,14.925,3.0116441
5,0,-3.2,-235.85,15.2,0.5744563
6,5,-3.2,-237.5,15.9,0.6
7,6,-3.2,-252.50002,24.6,0.6
8,7,-3.2,-258.94998,32.05,0.5830952
9,8,-3.85,-260.34998,33.5,0.46904156
10,9,-5.45,-260.75,34.55,0.4358899
11,10,-7.875,-260.75,36.05,0.42720017
12,11,-9.675,-260.80002,39.1,0.3774917
13,12,-10.275001,-260.85,42.6,0.4609772
14,13,-9.650001,-260.92502,46.149998,0.55
15,14,-7.9000006,-260.9,49.149998,0.53851646
16,15,-6.9750004,-260.94998,50.35,0.45
1,0,-3.2,-233.75002,14.650001,0.6480741
2,1,-3.2,-231.95,14.4,0.5744563
3,2,-3.2,-218.7,12.3,0.56568545
4,3,-3.2,-216.70001,12.1,0.56568545
17,16,-6.825,-261.1,50.449997,0.52201533
18,17,-6.85,-261.52502,50.725002,0.48476797
19,18,-7.0249996,-262.3,51.75,0.39051247
20,19,-7.625,-267.1,55.549995,0.4387482
21,20,-10.0,-272.44998,59.95,0.50990194
22,21,-10.025,-273.35,60.65,0.40311286
23,22,-10.05,-274.95,60.95,0.4358899
24,23,-9.849999,-291.15,62.800003,0.50990194
25,24,-9.075,-312.1,64.424995,0.6363961
26,25,-8.150001,-324.75,64.700005,0.50990194
27,26,-8.150001,-326.5,64.8,0.5
28,16,-6.7000003,-260.94998,50.550003,0.46904156
29,28,-5.25,-261.0,51.15,0.50990194
30,29,-2.1,-261.0,51.8,0.56568545
31,30,1.0,-261.0,51.15,0.53851646
32,31,2.4,-261.05002,50.800003,0.53851646
33,32,3.1,-261.7,51.35,0.53851646
34,33,4.0750003,-267.15,55.6,0.48218253
35,34,7.075,-271.84998,59.45,0.47169906
36,35,8.05,-273.35,60.7,0.50990194
37,36,8.05,-275.57498,61.0,0.52201533
38,37,6.8,-291.1,62.75,0.5
39,38,5.175,-312.1,64.424995,0.51478153
40,39,4.3,-324.725,64.725,0.5338539
41,40,4.1499996,-326.44998,64.8,0.50990194
