segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,21.4,222.79999,19.2,4.2426405
1,0,21.349998,222.79999,19.2,0.64031243
2,1,21.349998,222.4,19.949999,0.70710677
3,2,21.85,219.0,21.8,0.5
4,3,21.199999,172.2,35.325,0.45
5,4,21.775,122.825005,38.800003,0.49497476
6,5,21.775,89.25,32.375,0.39370042
7,6,23.125,60.95,19.225,0.44158804
8,7,23.125,57.200005,17.5,0.45
9,8,24.1,53.975,18.449999,0.4387482
10,9,22.275,51.15,20.225,0.44158804
11,10,20.35,47.775,22.1,0.5024938
12,11,17.6,43.45,23.05,0.5477225
13,12,15.25,37.775,22.8,0.5024938
14,13,15.175,36.6,22.1,0.47169906
15,14,14.45,4.0,2.8000002,0.53851646
16,15,13.975,-47.775,-20.25,0.39370042
17,16,13.975,-82.05,-25.8,0.33541018
18,17,13.45,-113.75001,-18.25,0.4358899
19,18,13.45,-130.0,-11.7,0.41231057
20,19,13.45,-155.9,3.1,0.41231057
21,20,12.95,-210.75,37.95,0.4358899
22,21,10.65,-238.35,49.125,0.35000002
23,22,4.675,-261.2,50.875004,0.43011624
24,23,3.4499998,-272.19998,51.15,0.42426404
25,24,3.5500002,-273.9,50.1,0.41231057
26,25,4.4500003,-274.65,48.525,0.42720017
27,26,4.975,-274.2,45.5,0.40311286
28,27,4.475,-273.775,42.449997,0.44158804
29,28,2.8999999,-273.42502,39.825,0.47434163
30,29,0.65000004,-273.15,38.125,0.47169906
31,30,-2.1,-273.05,37.475,0.39051247
32,31,-4.8500004,-273.15,38.125,0.35000002
33,32,-7.125,-273.42502,39.825,0.4555217
34,33,-8.7,-273.775,42.449997,0.41533118
