segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-14.200001,-131.75,-10.55,2.8460498
1,0,-14.25,-131.75,-10.55,0.4358899
2,1,-14.25,-132.35,-10.25,0.4358899
3,2,-14.35,-135.05,-8.75,0.4358899
4,3,-14.375,-155.9,3.1,0.32015622
5,4,-13.875,-210.75,37.95,0.40311286
6,5,-11.55,-238.35,49.125,0.35000002
7,6,-8.75,-259.9,50.875004,0.4609772
8,7,-7.25,-273.5,51.25,0.42426404
9,8,-7.4500003,-274.75,49.95,0.4358899
10,9,-8.65,-274.65,48.525,0.42720017
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.7,-273.775,42.449997,0.33541018
13,12,-7.125,-273.42502,39.825,0.4330127
14,13,-4.8500004,-273.15,38.125,0.47169906
15,14,-2.1,-273.05,37.475,0.39051247
16,15,0.65000004,-273.15,38.125,0.35000002
17,16,2.8999999,-273.42502,39.825,0.43011624
18,17,4.475,-273.775,42.449997,0.44158804
19,18,4.75,-274.2,44.0,0.5
