segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.958,-267.658,43.967,2.5806975
20,0,-8.150001,-269.525,49.575,0.39370042
21,20,-8.150001,-268.45,51.1,0.50990194
22,21,-8.725,-264.55,51.15,0.35000002
23,22,-8.75,-258.975,51.15,0.4924429
24,23,-11.325,-237.57501,48.949997,0.41833004
25,24,-11.95,-224.32498,43.6,0.39051247
26,25,-13.55,-211.15001,38.0,0.46904156
27,26,-14.849999,-162.45,6.2,0.46904156
28,27,-14.15,-131.1,-11.0,0.41231057
29,28,-14.25,-114.024994,-18.4,0.39051247
30,29,-14.675,-81.425,-25.650002,0.41833004
31,30,-15.375,-48.3,-20.75,0.33541018
32,31,-15.325,-0.70000005,0.70000005,0.45
33,32,-16.1,36.449997,22.025,0.33541018
34,33,-16.1,37.6,22.675,0.45
35,34,-18.3,42.725,22.775,0.35355338
36,35,-20.900002,47.775,21.85,0.41533118
37,36,-23.1,51.85,20.05,0.37416574
38,37,-24.699999,54.55,18.449999,0.42426404
39,38,-24.699999,57.5,17.425001,0.45
40,39,-24.525,60.2,18.775,0.35355338
41,40,-22.675,89.0,32.425003,0.35355338
42,41,-22.275,122.5,37.2,0.42720017
43,42,-22.125,172.375,34.05,0.39370042
44,43,-22.5,222.55002,19.975,0.4387482
45,44,-19.824999,254.5,8.275,0.35355338
46,45,-17.2,287.875,0.525,0.43011624
47,46,-16.1,320.55,-4.325,0.33541018
48,47,-13.924999,353.275,-3.05,0.36742347
49,48,-8.425,395.75,6.775,0.30822068
50,49,-8.4,397.075,7.25,0.4387482
16,0,-8.075001,-270.90002,48.125,0.47434163
17,16,-8.075001,-274.15,48.625,0.36742347
18,17,-7.2,-275.0,51.1,0.48989794
19,18,-4.9,-275.3,52.824997,0.5123476
1,0,4.35,-262.55,34.2,0.42426404
2,1,4.3,-263.0,33.7,0.34641016
3,2,4.3,-265.05002,33.75,0.37416574
4,3,4.3,-268.55,35.45,0.37416574
5,4,3.7500002,-269.35,35.575,0.40311286
6,5,-0.625,-272.875,35.4,0.32403705
7,6,-1.0,-273.25,36.25,0.42426404
8,7,-0.8,-273.15,37.975002,0.39051247
9,8,2.8000002,-273.42502,39.825,0.43011624
10,9,4.375,-273.775,42.449997,0.44158804
11,10,4.875,-274.2,45.5,0.42720017
12,11,4.35,-274.65,48.525,0.4924429
13,12,2.8000002,-275.0,51.1,0.48989794
14,13,0.5,-275.3,52.824997,0.5123476
15,14,-2.2,-275.35,53.399998,0.5
