segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.38300002,-269.19998,43.65,2.5806975
16,0,3.7500002,-270.90002,48.125,0.4387482
17,16,3.8249998,-269.525,49.575,0.4974937
18,17,3.85,-268.45,51.1,0.50990194
19,18,4.425,-264.55,51.15,0.35000002
20,19,5.2999997,-258.975,51.15,0.4387482
21,20,10.35,-237.57501,48.949997,0.4924429
22,21,11.025001,-224.32498,43.6,0.35355338
23,22,12.549999,-211.15001,38.0,0.46904156
24,23,13.875,-162.45,6.2,0.4387482
25,24,13.150001,-131.1,-11.0,0.41231057
26,25,13.249999,-114.024994,-18.4,0.39051247
27,26,13.725,-81.425,-25.650002,0.36742347
28,27,14.425,-48.3,-20.75,0.41533118
29,28,14.35,-0.70000005,0.70000005,0.41231057
30,29,15.099999,36.449997,22.025,0.33541018
31,30,15.150001,37.6,22.675,0.5024938
32,31,17.35,42.725,22.775,0.41833004
33,32,19.949999,47.775,21.85,0.47169906
34,33,22.15,51.85,20.05,0.4358899
35,34,23.725,54.55,18.449999,0.28722814
36,35,23.7,57.5,17.425001,0.45
37,36,23.55,60.2,18.775,0.4387482
38,37,21.699999,89.0,32.425003,0.47169906
39,38,21.3,122.5,37.2,0.4472136
40,39,21.15,172.375,34.05,0.35000002
41,40,21.5,222.55002,19.975,0.4387482
42,41,18.875,254.5,8.275,0.43011624
43,42,16.2,287.875,0.525,0.43011624
44,43,15.150001,320.55,-4.325,0.28722814
45,44,12.974999,353.275,-3.05,0.41833004
46,45,7.475,395.75,6.775,0.36742347
47,46,7.4249997,397.075,7.25,0.30822068
48,0,3.7500002,-274.15,48.625,0.40311286
49,48,2.8999999,-275.0,51.1,0.48989794
50,49,0.6,-275.3,52.824997,0.5123476
1,0,-8.65,-262.55,34.2,0.42426404
2,1,-8.7,-263.0,33.7,0.34641016
3,2,-8.7,-265.05002,33.75,0.37416574
4,3,-8.7,-268.55,35.45,0.37416574
5,4,-8.075001,-269.35,35.575,0.36742347
6,5,-3.675,-272.875,35.4,0.32403705
7,6,-3.325,-273.25,36.25,0.3774917
8,7,-3.5,-273.15,37.975002,0.39051247
9,8,-7.125,-273.42502,39.825,0.4555217
10,9,-8.7,-273.775,42.449997,0.41533118
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.65,-274.65,48.525,0.4924429
13,12,-7.1000004,-275.0,51.1,0.48989794
14,13,-4.8500004,-275.3,52.824997,0.48218253
15,14,-2.1,-275.35,53.399998,0.5
