segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,5.9500003,-259.80002,32.25,3.252691
1,0,5.9,-259.85,32.2,0.67082036
2,1,5.9,-261.35,31.8,0.3
3,2,5.9,-263.5,31.75,0.36055514
4,3,5.9500003,-267.30002,32.85,0.37416574
5,4,1.85,-272.84998,37.7,0.37416574
6,5,1.65,-273.15,38.5,0.31622776
7,6,5.85,-274.2,44.65,0.37416574
8,7,5.825,-274.3,45.15,0.41533118
9,8,5.2999997,-274.3,45.125,0.3774917
10,9,4.8250003,-274.3,43.85,0.41533118
11,10,2.375,-274.25,37.325,0.30822068
12,11,2.2749999,-272.55002,35.100002,0.33541018
13,12,2.3,-269.925,32.85,0.30413812
14,13,2.2749999,-263.8,31.05,0.3640055
15,14,2.25,-259.875,26.249998,0.35000002
16,15,5.2999997,-250.45,20.7,0.3
17,16,10.400001,-241.05,15.225,0.22912878
18,17,10.925,-228.02501,6.225,0.16583124
19,18,12.549999,-213.54999,-2.75,0.33166248
20,19,13.55,-165.90001,-35.175,0.33541018
21,20,12.875,-133.9,-51.95,0.26925823
22,21,13.349999,-116.45,-57.925,0.28722814
23,22,13.2,-101.100006,-61.4,0.28284273
24,23,13.400001,-84.7,-63.9,0.28284273
25,24,14.4,-50.700005,-63.800003,0.28284273
26,25,14.200001,-0.25,-48.100002,0.3
27,26,15.299999,34.775,-29.475,0.2915476
28,27,18.099998,37.975002,-25.150002,0.26925823
29,28,20.900002,40.925,-20.074999,0.35355338
30,29,23.025,43.6,-14.900001,0.25
31,30,23.875,45.2,-11.95,0.26925823
32,31,23.3,46.75,-8.675,0.4387482
33,32,21.65,87.8,14.55,0.24494897
34,33,21.65,121.6,20.05,0.31622776
35,34,21.65,171.05,17.35,0.33166248
36,35,21.825,221.725,2.25,0.27386126
37,36,19.85,253.275,-7.4500003,0.35000002
38,37,17.05,286.65,-12.75,0.33166248
39,38,15.4,320.0,-15.449999,0.3
40,39,14.300001,352.975,-12.349999,0.33541018
41,40,9.45,387.4,-0.95,0.37416574
42,41,8.0,396.375,3.625,0.21213202
43,42,8.0,397.19998,4.1,0.28284273
