segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-10.2,-259.80002,32.25,3.195309
1,0,-10.2,-259.85,32.2,0.67082036
2,1,-10.2,-261.35,31.8,0.3
3,2,-10.2,-263.5,31.75,0.36055514
4,3,-10.2,-267.30002,32.85,0.36055514
5,4,-6.1,-272.84998,37.7,0.36055514
6,5,-5.9,-273.15,38.5,0.3
7,6,-10.125,-274.2,44.65,0.41533118
8,7,-10.1,-274.3,45.15,0.41231057
9,8,-9.6,-274.3,45.125,0.3774917
10,9,-9.099999,-274.3,43.85,0.41231057
11,10,-6.65,-274.25,37.325,0.35000002
12,11,-6.5499997,-272.55002,35.100002,0.37416574
13,12,-6.5750003,-269.925,32.85,0.30822068
14,13,-6.5499997,-263.8,31.05,0.37416574
15,14,-6.525,-259.875,26.249998,0.3391165
16,15,-9.6,-250.45,20.7,0.3
17,16,-11.599999,-241.05,15.225,0.22912878
18,17,-12.549999,-228.02501,6.225,0.18708287
19,18,-14.174999,-213.54999,-2.75,0.32015622
20,19,-15.175,-165.90001,-35.175,0.2915476
21,20,-14.55,-133.9,-51.95,0.31622776
22,21,-15.000001,-116.45,-57.925,0.33541018
23,22,-14.8,-101.100006,-61.4,0.28284273
24,23,-15.000001,-84.7,-63.9,0.28284273
25,24,-16.1,-50.700005,-63.800003,0.28284273
26,25,-15.9,-0.25,-48.100002,0.3
27,26,-16.1,34.775,-29.475,0.2915476
28,27,-19.699999,37.975002,-25.150002,0.26925823
29,28,-22.6,40.925,-20.074999,0.35355338
30,29,-24.65,43.6,-14.900001,0.3
31,30,-25.525002,45.2,-11.95,0.18027757
32,31,-24.95,46.75,-8.675,0.40311286
33,32,-23.275,87.8,14.55,0.22912878
34,33,-23.275,121.6,20.05,0.33541018
35,34,-23.275,171.05,17.35,0.28722814
36,35,-23.45,221.725,2.25,0.32015622
37,36,-21.475,253.275,-7.4500003,0.36742347
38,37,-18.675,286.65,-12.75,0.28722814
39,38,-17.05,320.0,-15.449999,0.31622776
40,39,-15.950001,352.975,-12.349999,0.35000002
41,40,-11.075,387.4,-0.95,0.3640055
42,41,-9.650001,396.375,3.625,0.23452078
43,42,-9.650001,397.19998,4.1,0.3
