segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.96699995,-269.133,45.8,2.046949
24,0,4.4500003,-268.5,51.050003,0.42426404
25,24,4.4500003,-259.9,50.875004,0.39051247
26,25,10.849999,-238.35,49.125,0.40311286
27,26,13.224999,-210.75,37.95,0.40311286
28,27,13.675,-155.9,3.1,0.45
29,28,13.675,-130.0,-11.7,0.3774917
30,29,13.675,-113.75001,-18.25,0.35000002
31,30,14.25,-82.05,-25.8,0.50990194
32,31,14.25,-47.775,-20.25,0.4924429
33,32,14.749999,4.0,2.8000002,0.53851646
34,33,15.449999,36.6,22.1,0.5
35,34,15.449999,37.775,22.8,0.5024938
36,35,17.825,43.45,23.05,0.53150725
37,36,20.6,47.775,22.1,0.5678908
38,37,22.525002,51.15,20.225,0.41833004
39,38,24.3,53.975,18.449999,0.5024938
40,39,23.4,57.200005,17.5,0.48989794
41,40,23.4,60.95,19.225,0.5024938
42,41,22.0,89.25,32.375,0.5408327
43,42,22.0,122.825005,38.800003,0.45
44,43,21.475,172.2,35.325,0.51478153
45,44,22.1,222.3,21.324999,0.3774917
46,45,19.975,254.075,9.3,0.43011624
47,46,17.2,288.225,1.75,0.4387482
48,47,15.75,320.5,-3.05,0.46904156
49,48,14.375,353.525,-1.575,0.35707143
50,49,9.725,390.775,6.6,0.45276928
51,50,9.75,391.775,6.8999996,0.5024938
20,0,4.35,-271.19998,48.2,0.41231057
21,20,4.35,-274.0,48.8,0.41231057
22,21,2.8000002,-275.0,51.1,0.48989794
23,22,0.55,-275.3,52.824997,0.48218253
1,0,-5.9,-267.7,38.15,0.53851646
2,1,-6.3,-266.9,36.449997,0.3
3,2,-7.35,-265.85,33.149998,0.4358899
4,3,-8.1,-265.55,30.199999,0.41231057
5,4,-7.275,-265.925,29.199999,0.45276928
6,5,-3.325,-267.425,26.35,0.3391165
7,6,-2.75,-268.0,26.35,0.31622776
8,7,-2.375,-268.65,27.050001,0.28722814
9,8,-2.375,-271.25,30.45,0.35000002
10,9,-2.35,-272.75,35.95,0.33166248
11,10,-3.225,-272.975,37.4,0.2915476
12,11,-4.9,-273.175,38.100002,0.3774917
13,12,-7.2,-273.42502,39.825,0.43011624
14,13,-8.775001,-273.775,42.449997,0.44158804
15,14,-9.275,-274.2,45.5,0.42720017
16,15,-8.75,-274.65,48.525,0.4924429
17,16,-7.2,-275.0,51.1,0.48989794
18,17,-4.9,-275.3,52.824997,0.5123476
19,18,-2.2,-275.35,53.399998,0.5
