segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.667,-269.867,35.408,2.1213202
30,0,-6.6,-269.95,32.925,0.4387482
31,30,-6.5499997,-263.8,31.05,0.37416574
32,31,-6.5,-259.775,26.300001,0.32015622
33,32,-9.6,-250.77501,21.05,0.33541018
34,33,-11.675,-241.5,15.6,0.32015622
35,34,-12.2,-228.04999,6.3,0.3
36,35,-13.6,-213.925,-2.55,0.3640055
37,36,-14.599999,-196.775,-14.1,0.28722814
38,37,-14.55,-165.3,-35.550003,0.31622776
39,38,-14.25,-133.75,-52.074997,0.35000002
40,39,-14.5,-115.925,-57.9,0.32015622
41,40,-14.55,-100.125,-61.25,0.35000002
42,41,-14.35,-85.025,-63.550003,0.35000002
43,42,-15.6,-50.6,-63.7,0.28284273
44,43,-15.4,-38.550003,-60.2,0.3
45,44,-15.65,-0.35000002,-48.0,0.37416574
46,45,-16.150002,33.45,-30.199999,0.37416574
47,46,-16.25,34.6,-29.624998,0.22912878
48,47,-19.050001,37.65,-25.475002,0.35000002
49,48,-21.449999,39.95,-21.775,0.35000002
50,49,-23.675001,42.699997,-16.975,0.35355338
51,50,-25.099998,44.7,-12.8,0.34641016
52,51,-24.55,46.9,-8.474999,0.33541018
53,52,-24.5,47.850002,-7.9000006,0.3
54,53,-23.0,83.05,12.0,0.3
55,54,-22.8,87.65,14.599999,0.3
56,55,-22.8,93.75,15.6,0.3
57,56,-22.8,121.5,20.0,0.28284273
58,57,-22.8,171.0,17.5,0.28284273
59,58,-23.1,224.49998,1.05,0.36055514
60,59,-21.3,252.80002,-6.8999996,0.28284273
61,60,-18.0,289.7,-12.9,0.28284273
62,61,-16.699999,320.025,-15.4,0.28722814
63,62,-15.4,353.0,-12.3,0.28284273
64,63,-10.8,387.45,-0.95,0.24494897
65,64,-9.3,396.525,3.8,0.3774917
66,65,-9.099999,397.225,4.3,0.32015622
22,0,-4.5499997,-272.75,36.899998,0.42426404
23,22,-4.7,-273.15,37.7,0.41231057
24,23,-7.125,-273.42502,39.825,0.38405728
25,24,-8.7,-273.775,42.449997,0.41533118
26,25,-9.2,-274.2,45.5,0.4472136
27,26,-8.65,-274.65,48.525,0.4924429
28,27,-7.1000004,-275.0,51.1,0.48989794
29,28,-4.8500004,-275.3,52.824997,0.48218253
1,0,3.15,-266.9,36.399998,0.36055514
2,1,2.5,-267.7,36.425,0.32015622
3,2,0.1,-272.0,33.625,0.25
4,3,0.1,-272.25,33.649998,0.24494897
5,4,0.1,-272.4,34.05,0.3
6,5,0.1,-273.1,37.3,0.28284273
7,6,0.575,-273.15,38.100002,0.3640055
8,7,2.8999999,-273.42502,39.825,0.43011624
9,8,2.925,-273.475,40.075,0.4555217
10,9,2.625,-273.475,40.375,0.5361903
11,10,2.8000002,-273.6,41.65,0.45825756
12,11,3.875,-274.0,44.3,0.53150725
13,12,3.6499999,-274.42502,47.025,0.41833004
14,13,2.95,-274.725,48.85,0.40311286
15,8,3.125,-273.475,40.1,0.35355338
16,15,4.475,-273.775,42.449997,0.44158804
17,16,4.975,-274.2,45.5,0.42720017
18,17,4.4500003,-274.65,48.525,0.4924429
19,18,2.8999999,-275.0,51.1,0.48989794
20,19,0.6,-275.3,52.824997,0.5123476
21,20,-2.1,-275.35,53.399998,0.5
