segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.1,-264.3,33.1,2.828427
1,0,3.15,-264.3,33.149998,0.37416574
2,1,3.15,-264.59998,32.7,0.41231057
3,2,3.15,-265.275,32.7,0.39051247
4,3,2.05,-269.0,34.15,0.42426404
5,4,1.25,-271.925,35.550003,0.45
6,5,0.95,-272.75,36.199997,0.42426404
7,6,0.9,-273.15,38.075,0.39051247
8,7,2.8999999,-273.42502,39.825,0.40620193
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.975,-274.2,45.5,0.42720017
11,10,4.4500003,-274.65,48.525,0.4924429
12,11,2.8999999,-275.0,51.1,0.48989794
13,12,0.6,-275.3,52.824997,0.5123476
14,13,-2.1,-275.35,53.399998,0.5
15,14,-4.8500004,-275.3,52.824997,0.33541018
16,15,-6.8999996,-275.0,51.024998,0.45
17,16,-7.25,-274.55002,50.65,0.4358899
18,17,-8.75,-268.75,51.45,0.4358899
19,18,-8.75,-259.92502,50.950005,0.45
20,19,-11.55,-238.35,49.125,0.40311286
21,20,-13.875,-210.75,37.95,0.35000002
22,21,-14.375,-155.9,3.1,0.45
23,22,-14.375,-130.0,-11.7,0.3774917
24,23,-14.375,-113.75001,-18.25,0.35000002
25,24,-14.95,-82.05,-25.8,0.50990194
26,25,-14.95,-47.775,-20.25,0.4924429
27,26,-15.449999,4.0,2.8000002,0.53851646
28,27,-16.150002,36.6,22.1,0.5
29,28,-16.150002,37.775,22.8,0.5024938
30,29,-18.525,43.45,23.05,0.53150725
31,30,-21.3,47.775,22.1,0.5678908
32,31,-23.225,51.15,20.225,0.41833004
33,32,-25.0,53.975,18.449999,0.5024938
34,33,-24.1,57.200005,17.5,0.48989794
35,34,-24.1,60.95,19.225,0.5024938
36,35,-22.7,89.25,32.375,0.5408327
37,36,-22.7,122.825005,38.800003,0.45
38,37,-22.175001,172.2,35.325,0.51478153
39,38,-22.8,222.3,21.324999,0.3774917
40,39,-20.675001,254.075,9.3,0.43011624
41,40,-17.9,288.225,1.75,0.4387482
42,41,-16.45,320.5,-3.05,0.46904156
43,42,-15.075,353.525,-1.575,0.35707143
44,43,-10.400001,390.775,6.6,0.47169906
45,44,-10.450001,391.775,6.8999996,0.5024938
