segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.0,-264.3,33.1,2.828427
1,0,-7.0,-264.3,33.149998,0.3
2,1,-7.0,-264.59998,32.7,0.34641016
3,2,-7.0,-265.275,32.7,0.32015622
4,3,-5.9500003,-269.0,34.15,0.42426404
5,4,-5.05,-271.925,35.550003,0.45
6,5,-4.8,-272.75,36.199997,0.36055514
7,6,-4.75,-273.15,38.075,0.45
8,7,-6.775,-273.42502,39.825,0.295804
9,8,-8.325,-273.775,42.449997,0.44158804
10,9,-8.85,-274.2,45.5,0.5
11,10,-8.299999,-274.65,48.525,0.4387482
12,11,-6.8,-275.0,51.1,0.48989794
13,12,-4.4500003,-275.3,52.824997,0.48218253
14,13,-1.8,-275.35,53.399998,0.5
15,14,0.95,-275.3,52.824997,0.33541018
16,15,3.0,-275.0,51.024998,0.45
17,16,3.3500001,-274.55002,50.65,0.4358899
18,17,4.8500004,-268.75,51.45,0.4358899
19,18,4.8500004,-259.92502,50.950005,0.45
20,19,10.625,-238.35,49.125,0.36742347
21,20,12.95,-210.75,37.95,0.4358899
22,21,13.45,-155.9,3.1,0.41231057
23,22,13.45,-130.0,-11.7,0.41231057
24,23,13.45,-113.75001,-18.25,0.4358899
25,24,13.950001,-82.05,-25.8,0.50990194
26,25,13.950001,-47.775,-20.25,0.4924429
27,26,14.45,4.0,2.8000002,0.53851646
28,27,15.150001,36.6,22.1,0.5
29,28,15.225,37.775,22.8,0.47434163
30,29,17.575,43.45,23.05,0.47169906
31,30,20.35,47.775,22.1,0.6103278
32,31,22.275,51.15,20.225,0.57879186
33,32,24.075,53.975,18.449999,0.46368092
34,33,23.125,57.200005,17.5,0.47169906
35,34,23.125,60.95,19.225,0.5244044
36,35,21.725,89.25,32.375,0.50497526
37,36,21.725,122.825005,38.800003,0.47434163
38,37,21.199999,172.2,35.325,0.53150725
39,38,21.875,222.3,21.324999,0.35355338
40,39,19.699999,254.075,9.3,0.45
41,40,16.949999,288.225,1.75,0.4924429
42,41,15.5,320.5,-3.05,0.53851646
43,42,14.15,353.525,-1.575,0.39370042
44,43,9.45,390.775,6.6,0.52201533
45,44,9.45,391.775,6.8999996,0.5024938
