segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.425,-263.45,33.05,2.7427175
1,0,0.425,-263.425,33.05,0.39370042
2,1,0.2,-264.0,32.75,0.41231057
3,2,-0.45,-264.775,32.65,0.42720017
4,3,-0.95,-266.19998,32.975,0.4387482
5,4,-0.75,-269.55,34.95,0.4358899
6,5,-0.45,-272.8,37.024998,0.39051247
7,6,0.3,-273.15,37.775,0.39051247
8,7,2.8999999,-273.42502,39.825,0.43011624
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.95,-274.225,45.5,0.39051247
11,10,4.975,-274.2,45.824997,0.47434163
12,11,4.5499997,-274.2,46.05,0.37416574
13,12,4.225,-274.2,45.899998,0.32015622
14,13,3.85,-274.2,45.5,0.36055514
15,14,3.425,-273.775,42.85,0.36742347
16,15,1.8750001,-273.42502,40.225,0.4555217
17,16,-0.4,-273.15,38.525,0.4609772
18,17,-1.25,-273.1,37.125,0.39051247
19,18,-1.3000001,-272.05,35.9,0.3
20,19,-1.3000001,-266.05002,32.300003,0.3
21,20,-0.4,-264.1,31.8,0.28284273
22,21,2.1,-259.92502,26.699999,0.3774917
23,22,5.15,-250.77501,21.05,0.40311286
24,23,10.5,-241.5,15.6,0.34641016
25,24,11.0,-228.04999,6.3,0.3
26,25,12.4,-213.925,-2.55,0.3640055
27,26,13.400001,-196.775,-14.1,0.28722814
28,27,13.349999,-165.3,-35.550003,0.31622776
29,28,13.05,-133.75,-52.074997,0.35000002
30,29,13.349999,-115.925,-57.9,0.26925823
31,30,13.375001,-100.125,-61.25,0.39370042
32,31,13.150001,-85.025,-63.550003,0.35000002
33,32,14.4,-50.6,-63.7,0.28284273
34,33,14.200001,-38.550003,-60.2,0.3
35,34,14.475,-0.35000002,-48.0,0.41533118
36,35,15.000001,33.45,-30.199999,0.3
37,36,15.075,34.6,-29.624998,0.21213202
38,37,17.85,37.65,-25.475002,0.35000002
39,38,20.25,39.95,-21.775,0.35000002
40,39,22.5,42.699997,-16.975,0.32015622
41,40,23.925001,44.7,-12.8,0.32015622
42,41,23.375,46.9,-8.474999,0.40620193
43,42,23.3,47.850002,-7.9000006,0.3
44,43,21.8,83.05,12.0,0.3
45,44,21.6,87.65,14.599999,0.3
46,45,21.6,93.75,15.6,0.3
47,46,21.6,121.5,20.0,0.28284273
48,47,21.65,171.0,17.5,0.36055514
49,48,21.9,224.49998,1.05,0.36055514
50,49,20.1,252.80002,-6.8999996,0.28284273
51,50,16.8,289.7,-12.9,0.28284273
52,51,15.5,320.025,-15.4,0.28722814
53,52,14.25,353.0,-12.3,0.36055514
54,53,9.6,387.45,-0.95,0.24494897
55,54,8.1,396.525,3.8,0.3774917
56,55,7.9000006,397.225,4.3,0.32015622
