segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.6,-263.45,33.05,2.7820854
1,0,-4.6,-263.425,33.05,0.4387482
2,1,-4.375,-264.0,32.75,0.4387482
3,2,-3.7500002,-264.775,32.65,0.42720017
4,3,-3.25,-266.19998,32.975,0.4387482
5,4,-3.4499998,-269.55,34.95,0.4358899
6,5,-3.7250001,-272.8,37.024998,0.35355338
7,6,-4.5,-273.15,37.775,0.4387482
8,7,-7.075,-273.42502,39.825,0.295804
9,8,-8.675,-273.775,42.449997,0.44158804
10,9,-9.15,-274.225,45.5,0.39051247
11,10,-9.125,-274.2,45.824997,0.40620193
12,11,-8.75,-274.2,46.05,0.37416574
13,12,-8.4,-274.2,45.899998,0.34641016
14,13,-8.05,-274.2,45.5,0.36055514
15,14,-7.625,-273.775,42.85,0.36742347
16,15,-6.05,-273.42502,40.225,0.44158804
17,16,-3.7749999,-273.15,38.525,0.46368092
18,17,-2.925,-273.1,37.125,0.2915476
19,18,-2.8999999,-272.05,35.9,0.3
20,19,-2.8999999,-266.05002,32.300003,0.3
21,20,-3.8,-264.1,31.8,0.28284273
22,21,-6.6,-259.92502,26.699999,0.3774917
23,22,-9.675,-250.77501,21.05,0.36742347
24,23,-11.599999,-241.5,15.6,0.28284273
25,24,-12.1,-228.04999,6.3,0.3
26,25,-13.55,-213.925,-2.55,0.42720017
27,26,-14.5,-196.775,-14.1,0.28722814
28,27,-14.475,-165.3,-35.550003,0.3640055
29,28,-14.174999,-133.75,-52.074997,0.39370042
30,29,-14.45,-115.925,-57.9,0.26925823
31,30,-14.5,-100.125,-61.25,0.26925823
32,31,-14.275,-85.025,-63.550003,0.39370042
33,32,-15.5,-50.6,-63.7,0.28284273
34,33,-15.299999,-38.550003,-60.2,0.3
35,34,-15.6,-0.35000002,-48.0,0.3
36,35,-16.1,33.45,-30.199999,0.3
37,36,-16.175001,34.6,-29.624998,0.21213202
38,37,-18.95,37.65,-25.475002,0.35000002
39,38,-21.375,39.95,-21.775,0.36742347
40,39,-23.6,42.699997,-16.975,0.32015622
41,40,-25.025002,44.7,-12.8,0.32015622
42,41,-24.474998,46.9,-8.474999,0.40620193
43,42,-24.4,47.850002,-7.9000006,0.3
44,43,-22.9,83.05,12.0,0.3
45,44,-22.7,87.65,14.599999,0.3
46,45,-22.7,93.75,15.6,0.3
47,46,-22.7,121.5,20.0,0.28284273
48,47,-22.75,171.0,17.5,0.36055514
49,48,-23.0,224.49998,1.05,0.36055514
50,49,-21.199999,252.80002,-6.8999996,0.28284273
51,50,-17.9,289.7,-12.9,0.28284273
52,51,-16.599998,320.025,-15.4,0.28722814
53,52,-15.35,353.0,-12.3,0.36055514
54,53,-10.7,387.45,-0.95,0.24494897
55,54,-9.2,396.525,3.8,0.3774917
56,55,-9.0,397.225,4.3,0.32015622
