segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.25,-266.25,34.1,2.4041631
1,0,3.2,-266.25,34.1,0.36055514
2,1,3.15,-266.275,33.649998,0.28722814
3,2,1.25,-267.55,33.3,0.24494897
4,3,-1.1,-270.35,33.95,0.24494897
5,4,-1.2,-272.44998,37.1,0.36055514
6,5,0.65000004,-273.15,38.125,0.40311286
7,6,2.8999999,-273.42502,39.825,0.43011624
8,7,4.475,-273.775,42.449997,0.44158804
9,8,4.975,-274.2,45.5,0.42720017
10,9,4.4500003,-274.65,48.525,0.4924429
11,10,2.8999999,-275.0,51.1,0.48989794
12,11,0.6,-275.3,52.824997,0.5123476
13,12,-2.1,-275.35,53.399998,0.5
14,13,-4.8500004,-275.3,52.824997,0.33541018
15,14,-7.2999997,-275.1,51.25,0.41231057
16,15,-7.4500003,-274.4,51.050003,0.42426404
17,16,-7.4500003,-270.90002,50.35,0.42426404
18,17,-7.4500003,-269.17502,50.85,0.42720017
19,18,-8.150001,-265.9,51.25,0.42426404
20,19,-8.75,-259.9,50.875004,0.39051247
21,20,-11.55,-238.35,49.125,0.40311286
22,21,-13.875,-210.75,37.95,0.35000002
23,22,-14.375,-155.9,3.1,0.45
24,23,-14.375,-130.0,-11.7,0.3774917
25,24,-14.375,-113.75001,-18.25,0.35000002
26,25,-14.95,-82.05,-25.8,0.50990194
27,26,-14.95,-47.775,-20.25,0.4924429
28,27,-15.449999,4.0,2.8000002,0.53851646
29,28,-16.150002,36.6,22.1,0.5
30,29,-16.150002,37.775,22.8,0.5024938
31,30,-18.525,43.45,23.05,0.53150725
32,31,-21.3,47.775,22.1,0.5678908
33,32,-23.225,51.15,20.225,0.41833004
34,33,-25.0,53.975,18.449999,0.5024938
35,34,-24.1,57.200005,17.5,0.48989794
36,35,-24.1,60.95,19.225,0.5024938
37,36,-22.7,89.25,32.375,0.5408327
38,37,-22.7,122.825005,38.800003,0.45
39,38,-22.175001,172.2,35.325,0.51478153
40,39,-22.8,222.3,21.324999,0.3774917
41,40,-20.675001,254.075,9.3,0.43011624
42,41,-17.9,288.225,1.75,0.4387482
43,42,-16.45,320.5,-3.05,0.46904156
44,43,-15.075,353.525,-1.575,0.35707143
45,44,-10.400001,390.775,6.6,0.47169906
46,45,-10.450001,391.775,6.8999996,0.5024938
