segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.4500003,-266.25,34.1,2.4041631
1,0,-7.4,-266.25,34.1,0.36055514
2,1,-7.4,-266.275,33.649998,0.26925823
3,2,-5.5,-267.55,33.3,0.3
4,3,-3.1,-270.35,33.95,0.24494897
5,4,-3.025,-272.44998,37.1,0.33541018
6,5,-4.8500004,-273.15,38.125,0.40311286
7,6,-7.125,-273.42502,39.825,0.4555217
8,7,-8.7,-273.775,42.449997,0.41533118
9,8,-9.2,-274.2,45.5,0.4472136
10,9,-8.65,-274.65,48.525,0.4924429
11,10,-7.1000004,-275.0,51.1,0.48989794
12,11,-4.8500004,-275.3,52.824997,0.48218253
13,12,-2.1,-275.35,53.399998,0.5
14,13,0.6,-275.3,52.824997,0.3774917
15,14,3.075,-275.1,51.25,0.39051247
16,15,3.2,-274.4,51.050003,0.36055514
17,16,3.25,-270.90002,50.35,0.42426404
18,17,3.25,-269.17502,50.85,0.42720017
19,18,3.9250002,-265.9,51.25,0.39051247
20,19,5.4249997,-259.9,50.875004,0.35355338
21,20,10.65,-238.35,49.125,0.40311286
22,21,12.95,-210.75,37.95,0.4358899
23,22,13.45,-155.9,3.1,0.41231057
24,23,13.45,-130.0,-11.7,0.41231057
25,24,13.45,-113.75001,-18.25,0.4358899
26,25,13.975,-82.05,-25.8,0.4387482
27,26,13.975,-47.775,-20.25,0.41833004
28,27,14.475,4.0,2.8000002,0.47169906
29,28,15.2,36.6,22.1,0.4472136
30,29,15.25,37.775,22.8,0.5024938
31,30,17.6,43.45,23.05,0.5477225
32,31,20.35,47.775,22.1,0.6103278
33,32,22.300001,51.15,20.225,0.4387482
34,33,24.1,53.975,18.449999,0.5024938
35,34,23.15,57.200005,17.5,0.45825756
36,35,23.15,60.95,19.225,0.47169906
37,36,21.775,89.25,32.375,0.44158804
38,37,21.775,122.825005,38.800003,0.43011624
39,38,21.199999,172.2,35.325,0.53150725
40,39,21.9,222.3,21.324999,0.3774917
41,40,19.699999,254.075,9.3,0.45
42,41,16.975,288.225,1.75,0.41833004
43,42,15.5,320.5,-3.05,0.53851646
44,43,14.15,353.525,-1.575,0.39370042
45,44,9.45,390.775,6.6,0.52201533
46,45,9.5,391.775,6.8999996,0.45
