segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.7,-270.95,46.65,2.302173
1,0,4.7,-270.95,46.6,0.3
2,1,4.7,-272.44998,47.4,0.3
3,2,4.4500003,-274.65,48.4,0.42426404
4,3,2.8999999,-275.0,51.1,0.48989794
5,4,0.6,-275.3,52.824997,0.5123476
6,5,-2.1,-275.35,53.399998,0.5
7,6,-4.8500004,-275.3,52.824997,0.33541018
8,7,-7.1000004,-275.0,51.1,0.34641016
9,8,-8.65,-274.65,48.525,0.42720017
10,9,-9.2,-274.2,45.5,0.4472136
11,10,-8.7,-273.775,42.449997,0.33541018
12,11,-7.1500006,-273.42502,39.825,0.3391165
13,12,-6.5499997,-272.75,35.3,0.46904156
14,13,-6.5499997,-270.075,32.95,0.45
15,14,-6.5499997,-263.875,31.099998,0.4387482
16,15,-6.5,-259.775,26.300001,0.32015622
17,16,-9.6,-250.77501,21.05,0.33541018
18,17,-11.675,-241.5,15.6,0.32015622
19,18,-12.2,-228.04999,6.3,0.3
20,19,-13.6,-213.925,-2.55,0.3640055
21,20,-14.599999,-196.775,-14.1,0.28722814
22,21,-14.55,-165.3,-35.550003,0.31622776
23,22,-14.25,-133.75,-52.074997,0.35000002
24,23,-14.5,-115.925,-57.9,0.32015622
25,24,-14.55,-100.125,-61.25,0.35000002
26,25,-14.35,-85.025,-63.550003,0.35000002
27,26,-15.6,-50.6,-63.7,0.28284273
28,27,-15.4,-38.550003,-60.2,0.3
29,28,-15.65,-0.35000002,-48.0,0.37416574
30,29,-16.150002,33.45,-30.199999,0.37416574
31,30,-16.25,34.6,-29.624998,0.22912878
32,31,-19.050001,37.65,-25.475002,0.35000002
33,32,-21.449999,39.95,-21.775,0.35000002
34,33,-23.675001,42.699997,-16.975,0.35355338
35,34,-25.099998,44.7,-12.8,0.34641016
36,35,-24.55,46.9,-8.474999,0.33541018
37,36,-24.5,47.850002,-7.9000006,0.3
38,37,-23.0,83.05,12.0,0.3
39,38,-22.8,87.65,14.599999,0.3
40,39,-22.8,93.75,15.6,0.3
41,40,-22.8,121.5,20.0,0.28284273
42,41,-22.8,171.0,17.5,0.28284273
43,42,-23.1,224.49998,1.05,0.36055514
44,43,-21.3,252.80002,-6.8999996,0.28284273
45,44,-18.0,289.7,-12.9,0.28284273
46,45,-16.699999,320.025,-15.4,0.28722814
47,46,-15.4,353.0,-12.3,0.28284273
48,47,-10.8,387.45,-0.95,0.24494897
49,48,-9.3,396.525,3.8,0.3774917
50,49,-9.099999,397.225,4.3,0.32015622
