segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.900001,-270.95,46.65,2.302173
1,0,-8.85,-270.95,46.6,0.37416574
2,1,-8.85,-272.44998,47.4,0.37416574
3,2,-8.65,-274.65,48.4,0.42426404
4,3,-7.1000004,-275.0,51.1,0.48989794
5,4,-4.75,-275.3,52.824997,0.48218253
6,5,-2.1,-275.35,53.399998,0.5
7,6,0.65000004,-275.3,52.824997,0.33541018
8,7,2.95,-275.0,51.1,0.41231057
9,8,4.475,-274.65,48.525,0.41833004
10,9,5.05,-274.2,45.5,0.36055514
11,10,4.5249996,-273.775,42.449997,0.36742347
12,11,3.0,-273.42502,39.825,0.25495097
13,12,2.35,-272.75,35.3,0.46904156
14,13,2.35,-270.075,32.95,0.45
15,14,2.375,-263.875,31.099998,0.35355338
16,15,2.3,-259.775,26.300001,0.32015622
17,16,5.4,-250.77501,21.05,0.33541018
18,17,10.275001,-241.5,15.6,0.45
19,18,10.8,-228.04999,6.3,0.3
20,19,12.2,-213.925,-2.55,0.3640055
21,20,13.2,-196.775,-14.1,0.28722814
22,21,13.150001,-165.3,-35.550003,0.31622776
23,22,12.85,-133.75,-52.074997,0.35000002
24,23,13.124999,-115.925,-57.9,0.35355338
25,24,13.150001,-100.125,-61.25,0.35000002
26,25,12.95,-85.025,-63.550003,0.35000002
27,26,14.200001,-50.6,-63.7,0.28284273
28,27,14.0,-38.550003,-60.2,0.3
29,28,14.25,-0.35000002,-48.0,0.37416574
30,29,14.775001,33.45,-30.199999,0.26925823
31,30,14.849999,34.6,-29.624998,0.22912878
32,31,17.65,37.65,-25.475002,0.35000002
33,32,20.05,39.95,-21.775,0.35000002
34,33,22.275,42.699997,-16.975,0.35355338
35,34,23.7,44.7,-12.8,0.34641016
36,35,23.15,46.9,-8.474999,0.33541018
37,36,23.1,47.850002,-7.9000006,0.3
38,37,21.6,83.05,12.0,0.3
39,38,21.4,87.65,14.599999,0.3
40,39,21.4,93.75,15.6,0.3
41,40,21.4,121.5,20.0,0.28284273
42,41,21.449999,171.0,17.5,0.36055514
43,42,21.699999,224.49998,1.05,0.36055514
44,43,19.9,252.80002,-6.8999996,0.28284273
45,44,16.599998,289.7,-12.9,0.28284273
46,45,15.299999,320.025,-15.4,0.28722814
47,46,14.0,353.0,-12.3,0.28284273
48,47,9.4,387.45,-0.95,0.24494897
49,48,7.9000006,396.525,3.8,0.3774917
50,49,7.7,397.225,4.3,0.32015622
