segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,5.0,-284.65,52.2,3.606938
11,0,5.0,-285.9,52.2,0.56568545
12,11,5.0,-286.25,52.2,0.5744563
13,12,5.0,-286.6,52.7,0.48989794
14,13,4.2,-290.5,58.999996,0.48989794
15,14,4.1499996,-291.05002,59.600002,0.50990194
16,15,4.1499996,-298.0,60.3,0.5
17,16,2.35,-304.45,59.149998,0.4358899
18,17,1.4499999,-320.4,60.5,0.5
19,18,0.35000002,-336.7,61.1,0.5
20,19,-0.15,-340.4,60.85,0.42426404
21,20,-0.2,-341.05002,60.85,0.50990194
1,0,5.0,-283.40002,52.2,0.56568545
2,1,4.8500004,-282.94998,52.2,0.50990194
3,2,2.6499999,-280.5,52.350002,0.46904156
4,3,-1.15,-276.3,53.149998,0.5830952
5,4,-1.275,-275.85,53.149998,0.47169906
6,5,-1.1,-275.5,53.125,0.60207975
7,6,-0.6,-275.3,52.999996,0.56568545
8,7,0.8,-275.35,52.55,0.46904156
9,8,2.6000001,-275.1,51.2,0.48989794
10,9,3.075,-275.0,50.6,0.3774917
