segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.3,-284.65,52.2,3.606938
11,0,-9.3,-285.9,52.2,0.56568545
12,11,-9.25,-286.25,52.2,0.50990194
13,12,-9.25,-286.6,52.7,0.41231057
14,13,-8.45,-290.5,58.999996,0.41231057
15,14,-8.45,-291.05002,59.600002,0.50990194
16,15,-8.4,-298.0,60.3,0.56568545
17,16,-6.65,-304.45,59.149998,0.4358899
18,17,-5.75,-320.4,60.5,0.5
19,18,-4.65,-336.7,61.1,0.5
20,19,-4.1499996,-340.4,60.85,0.42426404
21,20,-4.05,-341.05002,60.85,0.4358899
1,0,-9.3,-283.40002,52.2,0.56568545
2,1,-9.15,-282.94998,52.2,0.50990194
3,2,-6.85,-280.5,52.350002,0.46904156
4,3,-3.125,-276.3,53.149998,0.6103278
5,4,-3.0,-275.85,53.149998,0.50990194
6,5,-3.1750002,-275.5,53.125,0.6041523
7,6,-3.6499999,-275.3,52.999996,0.5744563
8,7,-5.05,-275.35,52.55,0.4358899
9,8,-6.875,-275.1,51.2,0.45
10,9,-7.35,-275.0,50.6,0.45825756
