segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.32500002,-279.6,41.4,2.807134
10,0,0.70000005,-280.5,41.4,0.6
11,10,0.95,-281.15,41.65,0.4358899
12,11,2.35,-285.80002,43.45,0.42426404
13,12,4.1,-291.7,45.3,0.56568545
14,13,5.05,-298.7,47.05,0.42426404
15,14,3.1,-304.80002,48.55,0.5
16,15,3.1,-309.5,50.25,0.5
17,16,1.25,-329.2,53.55,0.42426404
18,17,0.3,-339.4,55.35,0.5
19,18,-0.25,-342.7,55.75,0.42426404
1,0,-0.05,-278.69998,41.4,0.53851646
2,1,-0.275,-278.425,41.25,0.5244044
3,2,-0.95,-277.3,40.05,0.5830952
4,3,-1.4000001,-276.475,39.5,0.5678908
5,4,-1.4000001,-274.0,38.05,0.53851646
6,5,-0.9,-273.1,37.825,0.5678908
7,6,1.05,-273.2,38.550003,0.5830952
8,7,2.575,-273.4,39.8,0.5678908
9,8,3.5750003,-273.5,41.2,0.5678908
