segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.575,-279.6,41.4,2.807134
10,0,-4.95,-280.5,41.4,0.53851646
11,10,-5.25,-281.15,41.65,0.4358899
12,11,-6.5499997,-285.80002,43.45,0.42426404
13,12,-8.349999,-291.7,45.3,0.5
14,13,-9.35,-298.7,47.05,0.42426404
15,14,-7.35,-304.80002,48.55,0.42426404
16,15,-7.35,-309.5,50.25,0.42426404
17,16,-5.5,-329.2,53.55,0.5
18,17,-4.5499997,-339.4,55.35,0.42426404
19,18,-4.05,-342.7,55.75,0.42426404
1,0,-4.2,-278.69998,41.4,0.6
2,1,-4.025,-278.425,41.25,0.5244044
3,2,-3.325,-277.3,40.05,0.5408327
4,3,-2.8999999,-276.475,39.5,0.5678908
5,4,-2.875,-274.0,38.05,0.57662815
6,5,-3.3750002,-273.1,37.825,0.552268
7,6,-5.2999997,-273.2,38.550003,0.53851646
8,7,-6.85,-273.4,39.8,0.53851646
9,8,-7.8500004,-273.5,41.2,0.53851646
