segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,5.05,-279.95,47.55,3.6742344
6,0,5.05,-278.5,47.15,0.8831761
7,6,5.05,-274.9,46.55,0.8602325
8,7,4.7,-274.7,46.524998,0.60207975
9,8,4.4,-274.7,46.524998,0.60207975
1,0,5.05,-281.4,47.95,0.8831761
2,1,7.5499997,-290.94998,51.55,0.8660254
3,2,7.9000006,-298.35,53.149998,0.78740084
4,3,2.25,-340.19998,58.25,0.8602325
5,4,2.25,-340.75,58.149998,0.8660254
10,9,4.1499996,-274.7,46.8,0.64031243
11,10,3.5,-274.925,49.024998,0.587367
12,9,4.1499996,-274.7,46.25,0.6480741
13,12,3.875,-274.475,44.175,0.5545268
