segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.325,-279.95,47.55,3.7536647
6,0,-9.35,-278.5,47.15,0.8831761
7,6,-9.35,-274.9,46.55,0.8602325
8,7,-9.0,-274.7,46.524998,0.68007356
9,8,-8.6,-274.7,46.524998,0.60207975
1,0,-9.3,-281.4,47.95,0.8062257
2,1,-11.8,-290.94998,51.55,0.78740084
3,2,-12.2,-298.35,53.149998,0.78740084
4,3,-6.5,-340.19998,58.25,0.78102493
5,4,-6.5,-340.75,58.149998,0.78740084
10,9,-8.4,-274.7,46.8,0.56568545
11,10,-7.8,-274.925,49.024998,0.587367
12,9,-8.4,-274.7,46.25,0.5744563
13,12,-8.125,-274.475,44.175,0.622495
