segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.05,-269.875,48.275,2.0518284
1,0,3.05,-270.30002,48.85,0.42426404
2,1,2.7,-271.6,49.2,0.28284273
3,2,0.6,-281.5,51.65,0.36055514
4,3,0.70000005,-282.4,52.249996,0.36055514
5,4,3.125,-288.07498,57.6,0.35355338
6,5,4.125,-291.1,59.574997,0.43011624
7,6,4.0750003,-298.275,60.149998,0.36742347
8,7,2.45,-304.55002,59.149998,0.4358899
9,8,1.525,-320.6,60.525,0.43011624
10,9,0.5,-336.6,61.05,0.36055514
11,10,-0.25,-341.35,60.725,0.35000002
12,0,3.05,-269.45,47.7,0.42426404
13,12,3.05,-269.7,47.1,0.41231057
14,13,3.325,-271.75,46.2,0.33541018
15,14,3.5750003,-273.8,45.275,0.2915476
16,15,3.625,-274.0,45.4,0.47169906
17,16,3.3750002,-274.175,46.5,0.43011624
18,17,3.05,-274.32498,48.050003,0.47169906
19,15,3.6,-273.97498,45.125,0.40620193
20,19,3.4499998,-273.825,44.100002,0.4609772
21,20,3.2749999,-273.675,42.85,0.44158804
