segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.35,-269.875,48.275,1.979899
11,0,-7.35,-270.30002,48.85,0.42426404
12,11,-6.95,-271.6,49.2,0.36055514
13,12,-4.8500004,-281.5,51.65,0.42426404
14,13,-4.975,-282.4,52.249996,0.39051247
15,14,-7.4,-288.07498,57.6,0.28722814
16,15,-8.4,-291.1,59.574997,0.40311286
17,16,-8.349999,-298.275,60.149998,0.45
18,17,-6.725,-304.55002,59.149998,0.35000002
19,18,-5.7999997,-320.6,60.525,0.32015622
20,19,-4.775,-336.6,61.05,0.39051247
21,20,-4.0,-341.35,60.725,0.26925823
1,0,-7.35,-269.45,47.7,0.42426404
2,1,-7.35,-269.7,47.1,0.41231057
3,2,-7.5499997,-271.75,46.2,0.37416574
4,3,-7.8500004,-273.8,45.275,0.39051247
5,4,-7.9000006,-274.0,45.4,0.56568545
6,5,-7.6499996,-274.175,46.5,0.4609772
7,6,-7.2999997,-274.32498,48.050003,0.5408327
8,4,-7.875,-273.97498,45.125,0.4330127
9,8,-7.7249994,-273.825,44.100002,0.49497476
10,9,-7.5499997,-273.675,42.85,0.47169906
