segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.125,-281.425,51.899998,3.078961
14,0,4.1,-282.45,52.3,0.5744563
15,14,3.9,-283.85,53.500004,0.53851646
16,15,3.25,-288.07498,57.75,0.4924429
17,16,3.225,-288.3,57.85,0.4387482
18,17,4.1,-291.125,59.500004,0.585235
19,18,4.2,-291.375,59.600002,0.5678908
20,19,4.125,-297.8,60.250004,0.6103278
21,20,4.1,-298.075,60.250004,0.52201533
22,21,2.375,-304.525,59.2,0.6041523
23,22,2.35,-304.775,59.2,0.52201533
24,23,1.425,-320.5,60.600002,0.53150725
25,24,1.4000001,-320.75,60.600002,0.5744563
26,25,0.45,-336.55,61.125,0.5678908
27,26,0.4,-336.82498,61.15,0.6422616
28,27,-0.275,-340.875,60.8,0.5338539
29,28,-0.3,-341.125,60.775,0.5338539
1,0,4.1499996,-280.4,51.5,0.67082036
2,1,3.7500002,-278.15002,50.800003,0.70710677
3,2,3.15,-275.6,50.024998,0.7697402
4,3,2.95,-274.125,50.0,0.6576473
5,4,3.225,-273.675,49.975,0.66895443
6,5,3.7749999,-273.475,50.024998,0.6383573
7,6,4.25,-273.625,49.975,0.644205
8,7,4.425,-274.175,49.925,0.71239036
9,8,4.475,-274.97498,50.199997,0.6819091
10,9,4.3,-275.225,50.825,0.6204837
11,10,3.4,-275.3,51.5,0.6
12,11,-0.15,-275.57498,53.375,0.717635
13,12,-2.0,-275.57498,53.95,0.6726812
