segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.4,-281.425,51.899998,3.078961
14,0,-8.4,-282.45,52.3,0.5744563
15,14,-8.2,-283.85,53.500004,0.53851646
16,15,-7.525,-288.07498,57.75,0.5244044
17,16,-7.5000005,-288.3,57.85,0.53851646
18,17,-8.4,-291.125,59.500004,0.585235
19,18,-8.45,-291.375,59.600002,0.6422616
20,19,-8.4,-297.8,60.250004,0.64031243
21,20,-8.4,-298.075,60.250004,0.52201533
22,21,-6.65,-304.525,59.2,0.6422616
23,22,-6.6,-304.775,59.2,0.585235
24,23,-5.7,-320.5,60.600002,0.56568545
25,24,-5.7,-320.75,60.600002,0.5744563
26,25,-4.7,-336.55,61.125,0.48218253
27,26,-4.7,-336.82498,61.15,0.5024938
28,27,-4.0,-340.875,60.8,0.5678908
29,28,-4.0,-341.125,60.775,0.5338539
1,0,-8.4,-280.4,51.5,0.6
2,1,-8.025001,-278.15002,50.800003,0.6726812
3,2,-7.4249997,-275.6,50.024998,0.6819091
4,3,-7.225,-274.125,50.0,0.6964194
5,4,-7.4500003,-273.675,49.975,0.644205
6,5,-8.05,-273.475,50.024998,0.644205
7,6,-8.525,-273.625,49.975,0.622495
8,7,-8.675,-274.175,49.925,0.6538348
9,8,-8.75,-274.97498,50.199997,0.7697402
10,9,-8.6,-275.225,50.825,0.6041523
11,10,-7.7,-275.3,51.5,0.6
12,11,-4.0750003,-275.57498,53.375,0.71239036
13,12,-2.3,-275.57498,53.95,0.6726812
