segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.4,-280.92502,45.35,3.0430248
9,0,3.4,-282.0,45.4,0.56568545
10,9,3.6,-284.40002,45.3,0.56568545
11,10,4.05,-291.55,45.2,0.37416574
12,11,4.05,-291.8,45.25,0.42426404
13,12,5.1,-298.55002,46.9,0.3
14,13,5.05,-298.7,46.95,0.42426404
15,14,3.05,-304.85,48.55,0.4358899
16,15,3.05,-309.25,50.050003,0.4358899
17,16,3.05,-309.34998,50.1,0.37416574
18,17,-0.05,-342.35,55.800003,0.37416574
19,18,-0.05,-342.6,55.85,0.42426404
1,0,3.4,-279.85,45.3,0.5744563
2,1,3.4,-278.3,44.65,0.53851646
3,2,3.4,-275.55002,43.399998,0.5744563
4,3,3.3,-274.44998,43.1,0.64031243
5,4,2.85,-274.1,41.95,0.5830952
6,5,2.3,-273.9,40.975002,0.63442886
7,6,-0.1,-273.7,39.5,0.56568545
8,7,-1.9,-273.30002,39.225,0.63442886
