segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.7,-280.92502,45.35,3.1128764
9,0,-7.7,-282.0,45.4,0.56568545
10,9,-7.8500004,-284.40002,45.3,0.64031243
11,10,-8.349999,-291.55,45.2,0.37416574
12,11,-8.349999,-291.8,45.25,0.42426404
13,12,-9.35,-298.55002,46.9,0.37416574
14,13,-9.3,-298.7,46.95,0.36055514
15,14,-7.35,-304.85,48.55,0.4358899
16,15,-7.2999997,-309.25,50.050003,0.37416574
17,16,-7.2999997,-309.34998,50.1,0.3
18,17,-4.2,-342.35,55.800003,0.3
19,18,-4.2,-342.6,55.85,0.36055514
1,0,-7.7,-279.85,45.3,0.5744563
2,1,-7.7,-278.3,44.65,0.53851646
3,2,-7.7,-275.55002,43.399998,0.5744563
4,3,-7.6,-274.44998,43.1,0.64031243
5,4,-7.125,-274.1,41.95,0.559017
6,5,-6.5499997,-273.9,40.975002,0.6103278
7,6,-4.2,-273.7,39.5,0.56568545
8,7,-2.325,-273.30002,39.225,0.6964194
