segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.475,-184.09999,-26.374998,4.0199504
8,0,-1.4499999,-185.3,-25.6,1.0049876
9,8,-1.4499999,-189.95,-22.6,0.70710677
10,9,-1.5,-210.1,-8.45,0.64031243
11,10,-1.4499999,-214.94998,-5.25,0.4358899
12,11,-1.4499999,-243.35,14.55,0.4358899
13,12,-1.4499999,-247.90001,17.35,0.42426404
14,13,-1.95,-270.7,26.550001,0.42426404
15,14,-1.95,-314.65002,42.55,0.4358899
16,15,-1.95,-315.94998,43.0,0.50990194
1,0,-1.5,-182.9,-27.15,0.8774964
2,1,-1.4499999,-179.34999,-29.499998,0.70710677
3,2,-1.5,-167.70001,-37.6,0.56568545
4,3,-1.4499999,-162.85,-40.05,0.4358899
5,4,-1.4499999,-135.45001,-53.95,0.4358899
6,5,-1.4499999,-123.09999,-57.9,0.5
7,6,-1.4499999,-120.200005,-58.850002,0.42426404
