segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.0,-173.25,-33.5,4.2201896
5,0,-2.0,-171.95,-34.35,0.8366601
6,5,-2.0,-170.05,-35.550003,0.8366601
7,6,-1.4499999,-162.9,-40.05,0.42426404
8,7,-1.4499999,-135.45001,-53.95,0.4358899
9,8,-1.4499999,-118.49999,-60.2,0.5
10,9,-1.4499999,-102.35,-64.0,0.50990194
11,10,-1.4499999,-84.15,-66.649994,0.4358899
12,11,-1.4499999,-53.3,-67.049995,0.42426404
13,12,-1.4499999,-47.15,-65.85,0.4358899
14,13,-1.4499999,-3.4499998,-53.250004,0.4358899
15,14,-1.4499999,3.7500002,-50.050003,0.4358899
16,15,-1.4499999,32.2,-35.350002,0.42426404
17,16,-4.35,36.1,-30.55,0.46904156
18,17,-10.625,42.05,-24.449999,0.55
19,18,-13.349999,47.600002,-19.875,0.4387482
20,19,-13.45,56.199997,-14.45,0.42426404
21,20,-10.375,61.85,-12.65,0.45
22,21,-5.85,65.525,-10.75,0.45
23,22,-2.2,69.5,-11.85,0.41231057
24,23,-1.85,77.8,-6.3500004,0.42426404
25,24,-1.4499999,84.75,-2.0,0.50990194
26,25,-1.4499999,89.3,-0.5,0.5
27,26,-1.4499999,116.2,4.4500003,0.42426404
28,27,-1.4499999,121.7,5.1,0.5
1,0,-2.0,-174.55,-32.65,0.8366601
2,1,-2.0,-176.8,-31.099998,0.6
3,2,-1.5,-202.44998,-12.75,0.50990194
4,3,-1.4499999,-207.29999,-9.45,0.42426404
