segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.72499996,-170.02501,-35.75,3.7215586
10,0,-0.75,-168.95,-36.5,0.70710677
11,10,-0.70000005,-166.6,-38.350002,0.53851646
12,11,-1.4499999,-162.45,-40.9,0.50990194
13,12,-1.4499999,-135.45001,-53.95,0.4358899
14,13,-1.4499999,-118.49999,-60.2,0.5
15,14,-1.4499999,-102.35,-64.0,0.50990194
16,15,-1.4499999,-84.15,-66.649994,0.4358899
17,16,-1.4499999,-53.3,-67.049995,0.42426404
18,17,-1.4499999,-47.15,-65.85,0.4358899
19,18,-1.4499999,-3.4499998,-53.250004,0.4358899
20,19,-1.4499999,3.7500002,-50.050003,0.4358899
21,20,-1.4499999,32.2,-35.350002,0.42426404
22,21,-4.35,36.1,-30.55,0.46904156
23,22,-10.625,42.05,-24.449999,0.55
24,23,-13.349999,47.600002,-19.875,0.4387482
25,24,-13.45,56.199997,-14.45,0.42426404
26,25,-10.375,61.85,-12.65,0.45
27,26,-5.85,65.525,-10.75,0.45
28,27,-2.2,69.5,-11.85,0.41231057
1,0,-0.70000005,-171.09999,-35.0,0.6
2,1,-0.70000005,-173.2,-33.55,0.53851646
3,2,-1.1,-177.25,-30.75,0.50990194
4,3,-1.4499999,-210.2,-8.4,0.5
5,4,-1.4499999,-214.94998,-5.25,0.4358899
6,5,-1.4499999,-243.35,14.55,0.4358899
7,6,-1.4499999,-247.90001,17.35,0.42426404
8,7,-1.95,-270.7,26.550001,0.42426404
9,8,-1.95,-272.84998,27.3,0.50990194
