segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.75,379.85,-10.75,3.241913
1,0,-0.70000005,379.85,-10.8,0.5744563
2,1,-0.75,377.65,-11.900001,0.37416574
3,2,-1.4499999,368.19998,-16.4,0.5
4,3,-1.4499999,361.2,-19.15,0.42426404
5,4,-1.6,361.07498,-19.2,0.47169906
6,5,-1.8,361.07498,-19.2,0.32015622
7,6,-3.0,361.05002,-19.45,0.42426404
8,7,-8.375,360.975,-19.175001,0.40926766
9,8,-14.1,360.40002,-15.85,0.5
10,9,-17.0,359.5,-10.599999,0.4
11,10,-18.275,358.6,-5.1,0.55
12,11,-17.0,357.69998,0.425,0.47169906
13,12,-14.1,356.80002,5.675,0.53150725
14,13,-8.375,356.25,9.0,0.5024938
15,14,-2.8000002,356.325,9.3,0.20615529
16,15,-1.1,356.45,8.525,0.4609772
17,16,-0.9,356.45,8.525,0.4609772
18,17,-0.70000005,356.3,8.5,0.56568545
19,18,-0.70000005,354.45,8.299999,0.5744563
20,19,-0.70000005,346.19998,8.299999,0.56568545
21,20,-0.70000005,345.0,8.299999,0.56568545
22,17,-0.70000005,356.6,8.55,0.64031243
23,22,-0.70000005,358.75,8.8,0.5744563
24,23,-0.70000005,375.8,11.0,0.56568545
25,24,-0.70000005,378.69998,11.200001,0.56568545
26,4,-1.4499999,360.94998,-19.25,0.4358899
27,26,-1.4499999,351.6,-22.7,0.5
28,27,-1.4499999,350.75,-23.0,0.50990194
