CellID,Length,Synapses,Density,Degree,Weighted_Degree
I1L,86.151103,44,0.510731,11,44
I1R,86.171937,36,0.417769,14,36
I2L,69.793664,89,1.27519,10,89
I2R,69.842543,105,1.50338,12,105
I3,53.382454,50,0.936637,13,50
I4,106.58096,126,1.1822,12,126
I5,195.80655,79,0.403459,16,79
I6,72.104431,102,1.41461,9,102
M1,96.051009,46,0.478912,11,46
M2L,58.034104,35,0.603094,9,35
M2R,58.033343,15,0.258472,8,15
M3L,34.20282,61,1.78348,11,61
M3R,34.243933,70,2.04416,13,70
M4,159.77242,98,0.613372,13,98
M5,93.58604,5,0.0534268,2,5
MCL,47.029643,11,0.233895,6,11
MCR,47.025723,8,0.17012,3,8
MI,30.672919,41,1.33668,13,41
NSML,77.136824,133,1.72421,13,133
NSMR,77.123116,121,1.56892,11,121
ASIL,148.85288,60,0.403083,19,60
ASIR,148.8286,33,0.221732,14,33
ASJL,142.96614,66,0.461648,12,66
ASJR,142.97203,42,0.293764,6,42
AWAL,142.36756,72,0.505733,10,72
AWAR,142.32279,114,0.800996,18,114
ASGL,133.09328,84,0.631136,9,84
ASGR,133.09344,101,0.758865,13,101
AWBL,141.98729,102,0.718374,20,102
AWBR,141.96353,59,0.4156,18,59
ASEL,162.43578,166,1.02194,23,166
ASER,162.41525,193,1.18831,25,193
ADFL,139.84259,178,1.27286,23,178
ADFR,139.80318,250,1.78823,25,250
AFDL,140.53797,64,0.455393,13,64
AFDR,140.51436,81,0.576454,10,81
AWCL,147.36102,124,0.841471,20,124
AWCR,147.38275,173,1.17381,21,173
ASKL,143.48235,98,0.683011,10,98
ASKR,143.46647,82,0.571562,16,82
ASHL,140.86766,163,1.15711,24,163
ASHR,140.82714,182,1.29236,30,182
ADLL,124.00365,167,1.34673,28,167
ADLR,124.01182,207,1.6692,31,207
BAGL,110.89557,121,1.09112,23,121
BAGR,110.87332,113,1.01918,19,113
URXL,87.681007,166,1.89323,32,166
URXR,87.704413,207,2.3602,36,207
ALNL,783.7602,35,0.0446565,10,35
ALNR,784.12564,48,0.0612147,11,48
PLNL,806.0913,52,0.0645088,5,52
PLNR,804.97446,48,0.0596292,6,48
SDQL,563.44513,91,0.161506,22,91
SDQR,187.17848,129,0.689182,15,129
AQR,115.4782,116,1.00452,21,116
PQR,69.932294,121,1.73024,17,121
ALML,315.60641,78,0.247143,21,78
ALMR,314.59735,40,0.127147,11,40
AVM,347.09604,96,0.276581,21,96
PVM,410.04007,62,0.151205,10,62
PLML,471.50349,64,0.135736,7,64
PLMR,471.42259,68,0.144244,7,68
FLPL,206.27913,266,1.28951,18,266
FLPR,206.27988,181,0.877449,19,181
DVA,785.87584,304,0.38683,64,304
PVDL,4531.5213,204,0.045018,16,204
PVDR,4527.0132,212,0.04683,15,212
ADEL,124.07393,179,1.44269,37,179
ADER,121.00845,121,0.99993,27,121
PDEL,720.3086,74,0.102734,10,74
PDER,718.78048,67,0.0932134,12,67
PHAL,86.754915,74,0.852978,11,74
PHAR,86.965993,68,0.781915,14,68
PHBL,86.591712,189,2.18266,15,189
PHBR,86.815476,175,2.01577,12,175
PHCL,108.8036,46,0.42278,12,46
PHCR,108.89084,102,0.936718,10,102
IL2DL,85.890224,91,1.05949,15,91
IL2DR,85.844465,120,1.39788,12,120
IL2L,82.512175,117,1.41797,16,117
IL2R,82.537549,98,1.18734,16,98
IL2VL,88.404898,107,1.21034,12,107
IL2VR,88.365116,164,1.85594,16,164
CEPDL,93.64355,215,2.29594,33,215
CEPDR,93.64978,176,1.87934,29,176
CEPVL,93.14705,182,1.9539,26,182
CEPVR,93.132268,180,1.93274,35,180
URYDL,81.743851,88,1.07653,14,88
URYDR,81.749308,71,0.868509,17,71
URYVL,77.440453,138,1.78201,20,138
URYVR,77.469689,158,2.03951,22,158
OLLL,106.83491,218,2.04053,20,218
OLLR,106.80185,222,2.07862,29,222
OLQDL,86.172523,102,1.18367,12,102
OLQDR,86.199452,77,0.893277,17,77
OLQVL,82.398671,125,1.51701,18,125
OLQVR,82.446619,150,1.81936,16,150
IL1DL,84.81665,85,1.00216,10,85
IL1DR,80.321801,159,1.97954,13,159
IL1L,94.142527,109,1.15782,14,109
IL1R,94.122589,113,1.20056,21,113
IL1VL,84.108149,126,1.49807,14,126
IL1VR,84.084058,140,1.665,12,140
AINL,64.363639,53,0.823446,17,53
AINR,64.430239,60,0.93124,18,60
AIML,46.93724,79,1.6831,18,79
AIMR,46.890752,83,1.77007,26,83
RIH,61.313821,376,6.13239,38,376
URBL,73.721616,79,1.0716,18,79
URBR,73.754487,109,1.47788,26,109
RIR,59.305127,173,2.91712,33,173
AIYL,46.841809,312,6.66072,18,312
AIYR,46.788022,332,7.09583,19,332
AIAL,31.412161,296,9.4231,27,296
AIAR,31.355784,278,8.86599,17,278
AUAL,101.94336,139,1.3635,15,139
AUAR,101.9272,131,1.28523,14,131
AIZL,53.592419,464,8.65794,34,464
AIZR,53.605669,393,7.33131,27,393
RIS,94.633338,224,2.36703,33,224
ALA,731.31209,184,0.251603,12,184
PVQL,774.32126,88,0.113648,17,88
PVQR,774.42552,82,0.105885,29,82
ADAL,82.771115,130,1.5706,31,130
ADAR,82.709452,143,1.72894,30,143
RIFL,61.091362,86,1.40773,16,86
RIFR,53.625731,124,2.31232,28,124
BDUL,132.75185,61,0.459504,14,61
BDUR,132.75674,87,0.655334,16,87
PVR,848.81101,189,0.222664,41,189
AVFL,801.15655,102,0.127316,28,102
AVFR,801.2897,90,0.112319,26,90
AVHL,778.0418,85,0.109249,32,85
AVHR,777.76057,72,0.0925735,30,72
PVPL,724.61617,109,0.150424,22,109
PVPR,717.28996,105,0.146384,30,105
LUAL,63.58032,114,1.79301,11,114
LUAR,63.363421,122,1.9254,13,122
PVNL,856.69438,115,0.134237,26,115
PVNR,806.07115,119,0.14763,43,119
AVG,767.8542,105,0.136745,32,105
DVB,315.89655,63,0.199432,9,63
RIBL,61.629818,300,4.86777,30,300
RIBR,61.503856,287,4.66637,29,287
RIGL,66.644324,195,2.92598,29,195
RIGR,56.928162,198,3.47807,27,198
RMGL,78.335097,147,1.87655,43,147
