CellID,Length,Synapses,Density,Degree,WeightedDegree
1072605926,7388.17551,2328,0.3151,54,885
1304599410,14832.993,3054,0.20589,,
1465400601,9358.99047,1971,0.2106,,
1669770671,14758.5046,3101,0.21012,,
1684504313,17878.4476,5447,0.30467,57,1963
1787105373,2720.13308,2676,0.98378,52,1214
1830470325,5310.35083,980,0.18455,,
1874244336,29037.0828,7400,0.25485,54,1501
1900905433,14872.623,6023,0.40497,,
1930502394,26101.8477,9762,0.374,58,4005
2001418787,4833.32035,642,0.13283,,
2047644309,11232.9808,2949,0.26253,53,872
2074305737,8070.14789,1353,0.16765,,
2103991145,17288.0095,6563,0.37963,57,2241
2104047922,5350.63283,2707,0.50592,,
2195261734,14587.8196,3319,0.22752,,
2252715458,10338.3351,2977,0.28796,53,1111
2306214824,6406.52125,1610,0.25131,56,557
2325998949,2904.35621,3288,1.1321,52,1473
2451406889,1149.68528,224,0.19484,48,116
2530864375,535.001205,273,0.51028,,
2820958695,2946.11054,1341,0.45518,,
2848552900,11747.6531,3181,0.27078,,
2888180252,5710.71457,996,0.17441,,
2889815798,7978.53486,9493,1.1898,57,3864
2903686765,7477.59263,1797,0.24032,53,602
3093748739,8077.67433,2164,0.2679,53,863
3111823553,10190.2541,1910,0.18743,,
3139317430,9901.23493,3467,0.35016,56,1127
3178243558,2210.79586,284,0.12846,34,59
3329117097,21478.2814,9177,0.42727,65,3614
3383650350,5356.59178,875,0.16335,,
3432315514,7694.06662,1352,0.17572,,
3470629528,15968.5389,5832,0.36522,53,2988
3503540481,24026.3895,4312,0.17947,,
3519995546,16244.1482,6623,0.40772,54,2767
3571083397,6276.4978,1327,0.21142,54,316
3680152874,2664.50311,1075,0.40345,,
3751392341,1058.04135,884,0.83551,56,420
3761379470,2522.6659,628,0.24894,51,301
3812058320,10669.8585,3383,0.31706,53,1260
3836078296,6939.70901,1580,0.22768,,
3954491075,6419.13804,1408,0.21934,,
4010150634,3976.33458,708,0.17805,56,291
4039221194,14361.2047,3670,0.25555,,
4125702786,4242.65775,347,0.081788,,
4138580687,6096.27055,1827,0.29969,52,864
4157825456,25140.1423,4289,0.1706,,
4188575291,18331.0939,6161,0.3361,54,1783
4197933517,6564.5217,1079,0.16437,,
4260528559,2525.57332,827,0.32745,,
4365276903,6883.42854,2215,0.32179,55,907
4420044370,1363.84269,1080,0.79188,54,363
4437316933,8777.5418,1996,0.2274,,
4467761196,2869.40255,532,0.1854,,
4476359994,4472.9257,1475,0.32976,,
4522237537,8793.88153,2291,0.26052,71,801
4535129012,10980.1376,4158,0.37868,53,1622
4554213569,9190.45729,1878,0.20434,,
4582188328,23690.2793,7768,0.3279,59,2847
4607885827,4882.37843,648,0.13272,,
4641147055,17812.6866,3560,0.19986,,
4668874666,10989.1503,1898,0.17272,,
4711567524,31001.1411,8404,0.27109,,
4711641825,2319.68952,1495,0.64448,54,618
4830551047,3589.96995,2469,0.68775,53,919
4853956860,2430.04511,1994,0.82056,,
4873639924,38699.6118,17911,0.46282,73,7896
4932057570,6430.85711,1055,0.16405,,
5013648003,5879.58256,1463,0.24883,52,602
5015035926,24788.7759,5206,0.21001,,
5060444657,6397.36136,1792,0.28012,,
5061320552,8094.34143,6043,0.74657,,
5136107765,24662.698,8820,0.35763,56,3396
5173982155,8428.09736,1639,0.19447,,
5175880292,11346.7187,2648,0.23337,52,920
5215113731,9568.64933,2958,0.30913,52,1142
5216806368,19710.6716,5334,0.27061,53,2378
5319188363,11672.2077,3662,0.31374,55,1642
5352961465,22126.094,8571,0.38737,60,2750
5355296383,11023.1433,3822,0.34673,55,1631
5439194879,6490.08134,916,0.14114,,
546925828,4324.10828,951,0.21993,63,541
547114083,7954.65992,1745,0.21937,,
5536146025,11324.6666,1776,0.15683,,
5584343344,11698.1778,2874,0.24568,,
5654281423,18818.9737,6493,0.34502,66,2958
5687162964,10060.2012,2166,0.2153,,
5805562981,4045.52758,1322,0.32678,,
5832764277,29687.7555,9864,0.33226,58,3399
5965472721,2537.15739,1543,0.60816,53,576
6126390733,1733.674,1632,0.94135,54,665
620880207,23767.1927,5932,0.24959,,
678539249,1729.93951,1091,0.63066,52,375
6833911543,6575.83084,1536,0.23358,52,569
7052969349,9735.48915,1379,0.14165,,
7196644737,6918.5355,1001,0.14468,55,192
751294744,12479.272,3480,0.27886,52,1031
7893125555,6980.44201,738,0.10572,,
810151953,4141.52507,837,0.2021,,
810970127,14190.2088,3253,0.22924,,
883843993,11187.4835,3563,0.31848,52,1237
955432427,3753.36493,972,0.25897,70,456
