CellID,Length,Synapses,Density,Degree,WeightedDegree
17454963,18.439632,1,0.054231018,1,1
16939501,13.178927,1,0.07587871,1,1
17379283,41.72288,2,0.047935329,2,2
8247315,26.19473,2,0.076351235,2,2
16053650,31.057258,1,0.032198593,1,1
8259179,38.96882,1,0.025661541,1,1
16145456,42.93516,3,0.069872804,3,3
9606354,42.875723,3,0.069969665,3,3
1431256,46.273168,12,0.25932956,7,12
17360034,89.895926,31,0.34484321,16,31
15994926,43.172878,18,0.41692843,7,18
15984231,41.768456,18,0.43094722,6,18
8259199,44.96391,3,0.066720176,3,3
1432836,44.449734,12,0.26996787,7,12
1428271,42.537181,19,0.44666805,8,19
15995327,49.297551,13,0.26370478,7,13
17378455,107.05759,36,0.3362676,15,36
16442344,40.344397,6,0.14871954,5,6
1427012,46.100164,10,0.21691897,6,10
15788419,50.001677,1,0.019999329,1,1
15983225,49.341992,37,0.74986839,9,37
16448934,48.661796,4,0.082200007,4,4
15982306,47.602884,6,0.12604278,5,6
15998753,48.303366,6,0.12421495,2,6
5116147,45.097865,14,0.31043599,9,14
9718223,141.55717,29,0.20486422,20,29
12367135,86.038796,11,0.1278493,10,11
5093516,41.496068,63,1.5182161,16,63
40045,59.423992,368,6.1927849,21,368
10450307,50.626441,1,0.019752524,1,1
1429969,56.972096,13,0.22818188,9,13
11460897,67.350088,4,0.059391162,3,4
9517477,51.878588,6,0.11565465,4,6
3565102,54.287835,7,0.12894233,7,7
15748726,53.446949,6,0.11226085,4,6
1709802,52.645358,5,0.094975136,1,5
15569561,50.402841,12,0.23808182,7,12
9782026,56.974815,3,0.052654845,3,3
15770032,60.214005,43,0.71411958,13,43
9436520,109.84332,89,0.81024499,41,89
8761400,55.603086,7,0.12589229,5,7
17732076,130.19321,107,0.82185543,39,107
3679411,56.761564,4,0.070470222,4,4
1367171,60.104038,33,0.54904797,12,33
1377586,53.89687,12,0.22264744,9,12
13358515,109.61941,79,0.72067527,31,79
16448983,56.752061,17,0.29954859,15,17
6978516,92.833202,15,0.16158012,9,15
16443532,68.213753,4,0.058639202,4,4
1706716,54.596453,59,1.0806563,14,59
2610744,49.929633,161,3.224538,18,161
1406463,54.831853,17,0.31003877,7,17
17937991,105.50445,73,0.69191395,22,73
15576194,59.218309,17,0.28707338,6,17
6729443,106.11431,50,0.47118999,15,50
7542938,67.45089,476,7.0569862,32,476
3708875,68.786905,294,4.2740693,28,294
17380936,65.375706,35,0.53536707,11,35
17728781,141.36549,76,0.53761352,32,76
6229682,96.322478,3,0.031145378,3,3
1414206,66.188696,24,0.36259968,14,24
10358617,67.74086,16,0.23619423,3,16
16448926,70.150771,1,0.014255011,1,1
8764750,63.41189,11,0.17346904,7,11
17729418,143.27039,25,0.17449523,20,25
5088293,53.641318,44,0.82026321,13,44
9748269,60.54959,7,0.11560772,6,7
19835787,118.16892,66,0.55852249,31,66
4017089,53.001937,11,0.20753958,6,11
3410499,75.128175,482,6.4157022,21,482
15828093,65.936107,9,0.13649577,8,9
3774568,64.701712,275,4.2502739,33,275
1395971,62.541198,38,0.60759949,12,38
15608355,142.3902,45,0.31603298,23,45
3592997,64.131168,376,5.8629838,21,376
3694515,80.091431,419,5.231521,23,419
5090549,69.19224,233,3.3674296,22,233
15567466,60.866576,10,0.16429378,5,10
1375101,74.052742,26,0.35110111,8,26
17000062,144.49608,84,0.58133064,50,84
3158543,72.521068,338,4.6607146,18,338
3771794,73.41313,268,3.6505731,23,268
3985829,60.47807,168,2.7778664,17,168
7439909,56.522379,14,0.24768951,10,14
15543068,69.629633,17,0.24414892,8,17
3872653,70.453143,258,3.6620084,24,258
11671564,60.708253,134,2.2072781,27,134
15995929,64.974521,76,1.1696893,20,76
9716858,68.492756,22,0.32120185,11,22
945309,72.168498,11,0.15242108,6,11
3586984,68.765671,130,1.8904782,28,130
15547732,63.148656,13,0.20586345,10,13
3768025,68.547072,315,4.5953823,33,315
9838294,62.772643,16,0.25488811,6,16
15984797,79.782351,19,0.23814791,12,19
3954014,63.866236,402,6.2944057,23,402
3192952,57.154827,4,0.069985341,4,4
3511996,69.926814,352,5.0338343,28,352
15770904,67.770523,30,0.44267033,15,30
1415168,72.6371,39,0.53691571,19,39
15690711,59.061615,1,0.016931471,1,1
4023881,62.914653,183,2.9087024,14,183
15714330,77.501924,18,0.2322523,5,18
15572414,71.319089,20,0.28042983,8,20
40152,77.686858,47,0.60499293,13,47
3556191,77.56652,35,0.45122561,13,35
1351125,78.687201,22,0.27958804,7,22
15997692,67.215695,31,0.46120181,19,31
15629355,59.771964,2,0.033460503,2,2
15998261,58.966705,33,0.55963785,14,33
2660767,78.103209,22,0.28167857,15,22
15587166,70.452696,22,0.31226626,9,22
15541976,66.587476,63,0.94612386,12,63
15939130,71.547532,12,0.16772067,7,12
15506094,71.806585,60,0.83557797,21,60
15575327,81.398921,24,0.2948442,9,24
15564807,67.119953,23,0.34267008,11,23
5523203,103.29205,8,0.077450301,7,8
15507888,82.482333,46,0.55769518,18,46
15531033,61.318404,12,0.19569981,5,12
15620432,56.851884,4,0.070358267,4,4
15542354,65.28407,20,0.30635345,9,20
15615475,59.864162,4,0.066817941,4,4
8773879,69.006645,9,0.13042222,8,9
17729195,156.02815,47,0.30122769,19,47
15531916,63.094903,15,0.23773711,9,15
17728632,131.44181,23,0.17498237,11,23
1391179,66.396292,34,0.51207679,11,34
15559195,79.213519,33,0.41659555,15,33
15714845,64.23164,6,0.093411907,5,6
10018161,217.02987,14,0.064507249,10,14
15690392,69.402987,9,0.12967742,5,9
15983156,82.947499,14,0.16878146,7,14
15532105,71.204579,6,0.084264244,5,6
17729335,156.69895,80,0.51053311,41,80
17380309,173.48934,63,0.36313471,31,63
3790004,69.313751,411,5.9295594,25,411
1435466,78.732133,23,0.29212977,11,23
17378475,143.32728,78,0.54420902,26,78
3639968,78.012015,206,2.6406189,10,206
3716797,80.382972,322,4.0058235,34,322
7424178,91.402068,22,0.24069477,8,22
2608843,68.920537,463,6.7178815,23,463
15674083,70.302581,17,0.24181189,8,17
17951153,80.278672,37,0.46089452,16,37
15530882,81.493729,28,0.34358472,14,28
15611791,62.966639,9,0.14293283,5,9
10017661,89.546352,9,0.10050661,8,9
3609202,77.110118,198,2.5677564,15,198
1400725,70.725313,21,0.29692339,10,21
15629888,60.074958,3,0.049937613,2,3
7527710,88.468064,418,4.7248689,27,418
15997645,66.201375,61,0.92143102,24,61
5120097,66.749207,3,0.044944354,2,3
17659219,160.69625,34,0.2115793,16,34
15574328,82.385457,27,0.32772774,16,27
15679484,69.426016,2,0.028807645,2,2
17728605,153.13343,95,0.62037401,26,95
15573381,69.055288,16,0.2316984,6,16
15711222,68.503116,2,0.029195752,2,2
15680710,63.325696,8,0.12633102,4,8
15713206,70.809193,4,0.05648984,3,4
9820270,83.817307,21,0.25054491,10,21
15586536,73.851974,21,0.28435259,8,21
15998218,66.634836,30,0.45021496,11,30
6883831,84.293284,36,0.42708029,11,36
17654967,159.05165,89,0.55956665,37,89
