CellID,Length,Synapses,Density,Degree,WeightedDegree
864691135580670464,1851.0121,1056,0.570498702,60,1083
864691135181733376,1816.3765,1772,0.975568667,40,1896
864691135468149376,1854.2749,886,0.477814805,167,1063
864691135564537600,1838.0664,1350,0.734467482,89,1384
864691136273003392,1895.5121,1599,0.843571508,73,1657
864691135988302080,1837.4469,1740,0.946966141,29,1841
864691135771719296,1814.3328,1444,0.795884856,41,1467
864691135974465152,1848.563,1731,0.936403033,31,1748
864691135762043648,1869.001,1293,0.691813434,61,1318
864691135278232448,1832.6776,406,0.221533782,25,475
864691135570650624,1829.0851,1808,0.988472324,90,1860
864691136973714688,1850.1791,1417,0.765871801,33,1435
864691135372149760,1816.8144,1969,1.08376508,89,2007
864691134917393920,1912.9626,1242,0.649254721,161,1336
864691135373694336,1882.8421,1259,0.668669986,96,1319
864691134988442496,1866.6994,2132,1.14212283,60,2164
864691136108698496,1861.414,1493,0.80207842,88,1504
864691135517325952,1905.2264,2616,1.37306516,109,2726
864691135951985152,1813.1656,1447,0.798051761,40,1486
864691135012516608,1841.9536,1954,1.0608302,124,2069
864691135582233600,1816.6042,1425,0.784430643,421,2037
864691136292031872,1798.2672,1025,0.569993158,155,1090
864691135699294976,1858.9452,1522,0.818743877,75,1559
864691136099824256,1833.5611,1611,0.878618116,68,1702
864691135855643648,1819.9977,1521,0.835715342,32,1584
864691136105514752,1852.5746,2541,1.37160468,50,2567
864691136099831680,1848.9192,1119,0.605218443,47,1135
864691135272178688,1843.7073,1023,0.554860308,21,1042
864691135501560704,1831.9454,1738,0.948718231,59,1763
864691136903047040,1773.0378,1666,0.939630277,88,1736
864691135770326400,1783.2324,1384,0.776118693,51,1440
864691135982744832,1782.7411,1170,0.656292717,68,1200
864691135807346432,1787.9738,1772,0.991065976,73,1873
864691136311737600,1893.8405,1173,0.619376341,44,1181
864691135675815168,1822.0213,1183,0.649278908,96,1267
864691135864988416,1861.2862,1405,0.754854358,63,1414
864691136618397312,1841.0968,1849,1.00429266,38,1876
864691136056357888,1851.8321,1433,0.773828254,70,1458
864691136226960512,1862.5408,1969,1.05715805,71,1981
864691135758536064,1877.0265,1361,0.725082997,81,1408
864691135233111936,1838.7333,1885,1.02516227,69,1891
864691135699369728,1894.5072,1992,1.05146077,118,2063
864691136757350016,1845.6225,1168,0.632848808,68,1195
864691135334518272,1799.1802,2246,1.24834633,36,2250
864691136032731264,1884.8118,1481,0.785754843,90,1522
864691135700350592,1916.5416,1647,0.859360423,74,1661
864691135526099584,1796.3416,1483,0.825566808,162,1579
864691135474748160,1846.9851,1509,0.817007132,338,1814
864691136309636992,1883.3556,1507,0.800167531,99,1553
864691136704627072,1845.0913,1370,0.742510682,22,1391
864691135155568512,1830.269,1723,0.941391675,145,1837
864691135946631552,1876.1204,1560,0.831503138,112,1660
864691135474969600,1833.0975,2602,1.41945532,74,2623
864691135577022464,1805.1179,1999,1.10740689,80,2022
864691135585422720,1956.8538,1045,0.534020477,84,1095
864691136286577408,1841.3979,1546,0.839579539,58,1576
864691136261315200,1882.2612,1210,0.642843831,45,1227
864691135991499264,1855.1292,1277,0.688361759,119,1387
864691135740268672,1873.6188,1681,0.897194243,115,1743
864691136682775168,1909.1242,1069,0.559942617,52,1089
864691136903422592,1772.6873,1219,0.687656531,56,1227
864691135593545472,1864.3201,1314,0.704814586,134,1445
864691135212690304,1845.1992,1647,0.892586557,44,1679
864691135986626176,1794.8857,1541,0.858550492,57,1595
864691135341138816,1908.6597,2020,1.05833429,125,2124
864691135256126080,1870.3599,605,0.323467157,68,670
864691136747515264,1826.0382,1069,0.585420393,166,1224
864691136903058304,1793.6708,1257,0.700797493,114,1304
864691135212625536,1818.1073,1489,0.818983566,84,1532
864691135291726720,1808.6715,1392,0.769625662,220,1554
864691135583713152,1836.6658,1217,0.662613743,66,1231
864691135724202368,1844.5653,1812,0.982345271,103,1844
864691136262786048,1891.0208,2468,1.30511521,50,2535
864691135134697728,1886.8832,893,0.473267238,38,916
864691136925709184,1865.601,1394,0.747212292,106,1424
864691136175066880,1853.1881,1381,0.745202281,35,1385
864691135472268032,1839.9283,2062,1.12069584,159,2209
864691135474386432,1833.483,2188,1.19335712,56,2245
864691135937386496,1860.1384,1803,0.969282716,140,1878
864691135334781696,1780.828,1815,1.01918883,63,1901
864691135865563776,1891.5785,1330,0.703116471,59,1352
864691135122679808,1812.0605,1049,0.578898994,45,1063
864691136105508864,1796.0117,1504,0.837411026,64,1516
864691136691570816,1905.948,2129,1.11702943,79,2230
864691135945447424,1858.4143,1098,0.590826276,47,1117
864691135501597312,1851.3264,1338,0.722725069,80,1386
864691136023797248,1880.5062,1708,0.908266083,79,1731
864691135448892928,1891.0353,1561,0.82547375,39,1580
864691135303183232,1795.8837,1771,0.986144036,67,1775
864691135975612032,1833.4218,1167,0.63651474,53,1200
864691136175038208,1877.794,1268,0.675260439,119,1374
864691136370820480,1846.0272,1389,0.752426616,46,1414
864691136862801536,1897.4306,1531,0.806880631,83,1614
864691135782399488,1871.9367,2088,1.11542233,63,2099
864691135777141376,1829.7533,1847,1.0094257,71,1871
864691136004044544,1788.6547,1378,0.770411416,129,1477
864691135700637312,1819.9489,1801,0.989588224,77,1834
