CellID,Length,Synapses,Density,Degree,WeightedDegree
76391,13.83844,16,1.1561997,0,1
78455,22.72062,32,1.4084123,3,9
81159,21.26793,12,0.56422981,4,7
79473,25.48146,32,1.255815,2,12
78457,27.71063,20,0.72174469,6,13
81155,26.31532,12,0.45600814,2,6
78413,27.82195,33,1.1861138,10,21
76293,46.17942,38,0.82287738,0,8
81512,30.5105,22,0.72106324,2,2
78393,27.29605,32,1.1723308,12,30
79008,29.45779,24,0.81472507,5,11
80691,30.36408,27,0.88920856,3,18
79031,34.15276,24,0.70272505,3,9
76633,33.95033,21,0.61855069,1,2
81513,31.45238,20,0.63588193,4,12
79652,32.40863,44,1.3576631,3,11
78460,33.86359,37,1.0926189,4,22
79692,35.76172,28,0.7829601,3,6
79646,32.44093,39,1.202185,1,2
77075,37.55282,67,1.7841536,4,30
81156,35.34905,17,0.48091816,2,5
77061,36.89729,81,2.1952832,2,41
76387,34.63209,26,0.7507488,3,18
78771,37.70357,59,1.5648386,1,2
78793,36.43365,28,0.76852031,8,18
78765,40.1179,74,1.8445632,2,12
78392,40.90537,32,0.78229338,8,26
78580,41.59794,39,0.93754643,3,13
79330,38.66896,23,0.59479231,1,2
78430,40.83109,35,0.85718995,7,29
79653,39.17009,60,1.531781,2,8
77490,41.33946,1,0.024189963,0,0
80725,39.07594,24,0.61418868,1,14
77536,43.62041,39,0.89407688,0,25
79919,43.10031,28,0.6496473,3,7
78232,40.92386,84,2.0525923,4,35
77484,43.05672,20,0.46450357,0,1
79667,44.00649,39,0.88623292,4,13
77041,44.77792,51,1.1389542,1,8
80828,49.13539,29,0.59020596,11,19
78770,47.17189,130,2.7558786,1,36
78764,51.52415,112,2.1737379,0,24
77527,45.24085,18,0.39787051,0,0
77253,51.37739,61,1.1872927,6,26
79018,44.5282,91,2.0436487,4,22
78786,46.48247,36,0.77448552,2,7
77512,49.13117,10,0.20353678,0,0
78760,47.9436,130,2.7115194,1,13
79137,45.34641,45,0.99236081,2,5
76485,67.25723,135,2.0072191,1,38
77485,51.21699,42,0.82004038,1,1
77524,48.77319,24,0.49207362,0,4
